Vassdrag,VdrNr,Aar,Andel_hunn,Fangst_storstygg,Maloppnaelse,Fangstrate,Gytebestand,Elvinnsig,GytingSim,Laks_vekt_u3kg,Laks_vekt_o3u7kg,Laks_vekt_o7kg,Laks_ant_u3kg,Laks_ant_o3u7kg,Laks_ant_o7kg,Gjen_vekt_u3kg,Gjen_vekt_o3u7kg,Gjen_vekto7kg,Gjen_ant_u3kg,Gjen_ant_o3u7kg,Gjen_ant_o7kg
Jostedøla (Jostedalselva),076.Z,2012,0.54,22,,0.47,,,FALSE,5,0,17,2,0,2,0,0,0,0,0,0
Jostedøla (Jostedalselva),076.Z,2013,0.54,19,,0.47,,,FALSE,3,5,11,2,1,1,0,0,0,0,0,0
Jostedøla (Jostedalselva),076.Z,2014,0.54,37,,0.47,,,FALSE,2,20,15,1,4,2,0,0,0,0,0,0
Jostedøla (Jostedalselva),076.Z,2015,0.54,91,,0.47,,,FALSE,11,48,32,5,10,4,0,0,0,0,0,0
Jostedøla (Jostedalselva),076.Z,2016,0.54,1,,0.47,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
Jostedøla (Jostedalselva),076.Z,2017,0.54,1,,0.47,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
Jostedøla (Jostedalselva),076.Z,2018,0.54,1,,0.47,,,FALSE,0,5,0,0,1,0,0,0,0,0,0,0
Jostedøla (Jostedalselva),076.Z,2019,0.54,10,,0.47,,,FALSE,10,0,0,5,0,0,0,0,0,0,0,0
