Vassdrag;VdrNr;Aar;Andel_hunn;Fangst_storstygg;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Brøstadelva;193.3Z;2012;0.57;0;0.07;;;;FALSE;18;0;0;14;0;0;2;0;0;2;0;0
Brøstadelva;193.3Z;2013;0.57;0;0.07;;;;FALSE;8;5;0;6;1;0;0;0;0;0;0;0
Brøstadelva;193.3Z;2014;0.57;0;0.07;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Brøstadelva;193.3Z;2015;0.57;0;0.07;;;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Brøstadelva;193.3Z;2016;0.57;16;0.07;;;;FALSE;10;6;0;7;1;0;10;6;0;7;1;0
Brøstadelva;193.3Z;2017;0.57;15;0.07;;;;FALSE;15;0;0;7;0;0;0;0;0;0;0;0
Brøstadelva;193.3Z;2018;0.57;47;0.07;;;;FALSE;31;16;0;19;4;0;0;0;0;0;0;0
Brøstadelva;193.3Z;2019;0.57;8;0.07;;;;FALSE;5;3;0;3;1;0;0;0;0;0;0;0
