Vassdrag;VdrNr;Aar;Andel_hunn;Fangst_storstygg;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Rombakselva;174.3Z;2012;0.6;0;0;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rombakselva;174.3Z;2013;0.6;0;0;;;;FALSE;6;4;9;3;1;1;0;0;0;0;0;0
Rombakselva;174.3Z;2014;0.6;2;0;;;;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Rombakselva;174.3Z;2015;0.6;2;0;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rombakselva;174.3Z;2016;0.6;3;0;;;;FALSE;0;3;0;0;1;0;0;0;0;0;0;0
Rombakselva;174.3Z;2017;0.6;5;0;;;;FALSE;0;5;0;0;1;0;0;0;0;0;0;0
Rombakselva;174.3Z;2018;0.6;5;0;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rombakselva;174.3Z;2019;0.6;34;0;;;;FALSE;29;5;0;12;1;0;1;6;7;1;1;1
