Vassdrag,VdrNr,Aar,Andel_hunn,Fangst_storstygg,Maloppnaelse,Fangstrate,Gytebestand,Elvinnsig,GytingSim,Laks_vekt_u3kg,Laks_vekt_o3u7kg,Laks_vekt_o7kg,Laks_ant_u3kg,Laks_ant_o3u7kg,Laks_ant_o7kg,Gjen_vekt_u3kg,Gjen_vekt_o3u7kg,Gjen_vekto7kg,Gjen_ant_u3kg,Gjen_ant_o3u7kg,Gjen_ant_o7kg
Lakselvvassdraget,149.2Z,2012,0.56,0,0,,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
Lakselvvassdraget,149.2Z,2013,0.56,0,0,,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
Lakselvvassdraget,149.2Z,2014,0.56,0,0,,,,FALSE,14,8,7,5,2,1,17,12,0,6,3,0
Lakselvvassdraget,149.2Z,2015,0.56,0,0,,,,FALSE,6,15,8,3,3,1,5,24,27,3,5,3
Lakselvvassdraget,149.2Z,2016,0.56,0,0,,,,FALSE,2,11,0,1,3,0,18,111,59,11,26,7
Lakselvvassdraget,149.2Z,2017,0.56,0,0,,,,FALSE,0,0,8,0,0,1,35,158,26,20,36,3
Lakselvvassdraget,149.2Z,2018,0.56,5,0,,,,FALSE,2,3,0,1,1,0,9,41,7,5,11,1
Lakselvvassdraget,149.2Z,2019,0.56,9,0,,,,FALSE,2,7,0,1,2,0,14,48,8,7,12,1
