Fylke;Aar;Laks under 3 kg (kg);Laks 3 - 6,9 kg (kg);Laks 7 kg og over (kg);Laks under 3 kg (stk);Laks 3 - 6,9 kg (stk);Laks 7 kg og over (stk)
7;2016;104;1106;450;43;221;58
7;2017;99;310;193;41;64;24
7;2018;232;340;62;97;80;7
7;2019;9;216;69;4;42;9
8;1993;52;174;26;23;41;3
8;1994;133;141;32;60;31;4
8;1995;14;61;11;6;14;1
8;1996;26;178;25;12;38;2
8;1997;38;98;18;17;22;2
8;1998;27;126;9;13;30;1
8;1999;0;0;0;0;0;0
8;2000;0;0;0;0;0;0
8;2001;69;124;66;31;31;8
8;2002;47;112;15;21;26;2
8;2003;0;0;0;0;0;0
8;2004;24;128;54;10;25;6
8;2005;0;0;0;0;0;0
8;2006;0;0;0;0;0;0
8;2007;0;0;0;0;0;0
8;2008;0;0;0;0;0;0
8;2009;0;0;0;0;0;0
8;2010;0;0;0;0;0;0
8;2011;0;0;0;0;0;0
8;2012;0;0;0;0;0;0
8;2013;0;0;0;0;0;0
8;2014;0;0;0;0;0;0
8;2015;0;0;0;0;0;0
8;2016;0;0;0;0;0;0
8;2017;0;0;0;0;0;0
8;2018;0;0;0;0;0;0
8;2019;0;0;0;0;0;0
9;1993;112;899;285;45;176;30
9;1994;196;779;246;85;167;30
9;1995;283;892;311;116;191;38
9;1996;244;1199;390;109;242;49
9;1997;179;538;164;74;120;19
9;1998;142;326;42;61;66;5
9;1999;0;1;1;0;0;0
9;2000;318;493;35;143;118;4
9;2001;499;1389;212;216;305;26
9;2002;189;511;212;79;111;27
9;2003;141;901;194;59;184;22
9;2004;192;602;222;86;122;27
9;2005;47;133;56;20;32;7
9;2006;171;940;203;72;218;23
9;2007;57;1179;219;25;256;24
9;2008;0;0;0;0;0;0
9;2009;0;0;0;0;0;0
9;2010;0;0;0;0;0;0
9;2011;93;954;22;41;213;3
9;2012;29;815;64;11;179;8
9;2013;2;110;35;1;24;4
9;2014;92;438;17;38;108;2
9;2015;39;620;129;18;142;15
9;2016;41;452;56;17;101;7
9;2017;113;461;38;44;99;5
9;2018;202;806;89;80;178;11
9;2019;34;833;98;14;170;12
10;1993;305;251;45;140;63;5
10;1994;57;55;28;24;13;4
10;1995;233;189;24;111;42;3
10;1996;0;0;0;0;0;0
10;1997;0;0;0;0;0;0
10;1998;0;0;0;0;0;0
10;1999;184;267;70;84;62;9
10;2000;122;108;29;53;26;4
10;2001;0;0;0;0;0;0
10;2002;0;0;0;0;0;0
10;2003;128;408;133;54;90;16
10;2004;0;0;0;0;0;0
10;2005;0;0;0;0;0;0
10;2006;0;0;0;0;0;0
10;2007;30;300;76;12;73;9
10;2008;29;208;32;13;52;4
10;2009;37;143;35;14;34;4
10;2010;59;154;48;24;36;6
10;2011;70;888;32;29;205;4
10;2012;13;334;47;6;77;6
10;2013;10;122;18;4;29;2
10;2014;50;295;8;20;70;1
10;2015;9;154;0;4;35;0
10;2016;24;208;0;11;50;0
10;2017;130;559;15;59;125;2
10;2018;205;526;285;84;115;34
10;2019;28;437;30;14;95;4
11;1993;49;22;1;20;5;0
11;1994;229;303;72;98;77;9
11;1995;118;255;11;55;52;1
11;1996;140;343;103;63;77;12
11;1997;306;352;51;144;76;6
11;1998;931;1266;343;468;269;42
11;1999;612;988;84;283;207;11
11;2000;617;1017;97;274;215;12
11;2001;1391;2062;249;607;478;32
11;2002;503;1278;270;235;253;33
11;2003;634;1670;497;277;352;61
11;2004;410;1051;180;189;223;21
11;2005;249;744;197;114;159;23
11;2006;329;1930;151;141;431;19
11;2007;50;648;112;20;142;14
11;2008;256;1315;235;110;299;27
11;2009;146;598;223;62;132;27
11;2010;253;715;334;112;153;38
11;2011;107;491;113;48;110;13
11;2012;498;1641;1101;212;360;122
11;2013;52;429;75;23;91;9
11;2014;226;531;123;92;118;15
11;2015;89;917;91;42;201;11
11;2016;159;532;108;72;121;13
11;2017;294;1032;933;135;224;102
11;2018;716;1131;361;457;243;46
11;2019;90;691;293;47;141;35
12;1993;262;625;168;113;154;20
12;1994;375;438;58;156;113;6
12;1995;243;575;115;104;130;15
12;1996;136;639;94;58;134;9
12;1997;489;804;212;199;181;24
12;1998;325;904;190;158;204;22
12;1999;532;791;221;237;183;26
12;2000;987;1515;225;418;361;27
12;2001;554;1381;433;237;301;52
12;2002;386;1297;456;173;273;53
12;2003;258;1170;287;117;254;36
12;2004;141;241;153;60;51;19
12;2005;185;501;269;78;111;32
12;2006;483;3145;604;202;716;73
12;2007;164;1517;681;75;319;78
12;2008;71;683;662;28;143;73
12;2009;105;447;99;41;95;11
12;2010;0;0;0;0;0;0
12;2011;0;0;0;0;0;0
12;2012;0;0;0;0;0;0
12;2013;0;0;0;0;0;0
12;2014;0;0;0;0;0;0
12;2015;0;0;0;0;0;0
12;2016;0;0;0;0;0;0
12;2017;0;0;0;0;0;0
12;2018;0;0;0;0;0;0
12;2019;0;0;0;0;0;0
14;1993;103;194;204;43;40;22
14;1994;42;51;7;17;13;1
14;1995;73;136;0;31;32;0
14;1996;13;192;99;6;36;12
14;1997;45;203;72;18;48;9
14;1998;106;551;192;51;114;23
14;1999;48;108;64;19;26;7
14;2000;1316;2708;571;544;644;68
14;2001;96;397;209;38;84;25
14;2002;104;488;320;44;101;39
14;2003;341;721;121;130;159;15
14;2004;110;680;331;48;131;42
14;2005;276;724;306;113;150;33
14;2006;160;1489;269;70;319;31
14;2007;27;469;69;12;98;8
14;2008;120;1306;327;50;283;37
14;2009;92;366;134;37;83;15
14;2010;315;631;141;156;132;17
14;2011;127;669;100;56;150;12
14;2012;245;896;323;101;193;38
14;2013;99;186;55;39;38;7
14;2014;283;498;122;119;114;15
14;2015;219;586;40;96;131;4
14;2016;141;810;64;59;185;8
14;2017;160;826;73;72;182;9
14;2018;285;635;76;128;133;10
14;2019;134;473;133;58;108;17
15;1993;249;274;27;101;62;3
15;1994;587;426;144;288;85;17
15;1995;134;304;13;57;69;2
15;1996;52;135;17;23;31;2
15;1997;1409;1435;206;620;337;22
15;1998;723;1096;300;363;251;34
15;1999;806;1021;189;387;239;23
15;2000;1765;1287;163;809;314;19
15;2001;835;1401;364;361;304;41
15;2002;580;2141;545;256;461;67
15;2003;269;739;278;129;171;32
15;2004;973;1749;254;445;389;31
15;2005;308;1125;298;136;250;32
15;2006;287;2564;755;131;536;81
15;2007;183;1118;1015;78;243;112
15;2008;450;1036;433;197;246;50
15;2009;1029;2121;825;450;487;95
15;2010;664;1290;475;280;307;57
15;2011;739;2008;408;320;460;48
15;2012;726;1845;1101;307;406;126
15;2013;339;1033;542;142;238;61
15;2014;314;703;313;142;165;36
15;2015;702;1678;424;314;378;48
15;2016;440;2320;842;188;506;95
15;2017;472;1048;418;232;239;47
15;2018;488;1534;345;218;338;41
15;2019;195;612;208;86;140;24
50;1993;0;0;0;0;0;0
50;1994;0;0;0;0;0;0
50;1995;0;0;0;0;0;0
