Aar;VdrNr;Vassdrag;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
1996;001.Z;Tista;0;0;0;0;0;0;0;0;0;0;0;0
1997;001.Z;Tista;0;0;0;0;0;0;0;0;0;0;0;0
1998;001.Z;Tista;0;0;0;0;0;0;0;0;0;0;0;0
1999;001.Z;Tista;0;0;0;0;0;0;0;0;0;0;0;0
2000;001.Z;Tista;0;0;0;0;0;0;0;0;0;0;0;0
2001;001.Z;Tista;0;0;0;0;0;0;0;0;0;0;0;0
2002;001.Z;Tista;0;0;0;0;0;0;0;0;0;0;0;0
2003;001.Z;Tista;0;44;0;0;11;0;0;0;0;0;0;0
2004;001.Z;Tista;4;18;14;2;3;2;0;0;0;0;0;0
2005;001.Z;Tista;0;76;7;0;15;1;0;0;0;0;0;0
2006;001.Z;Tista;0;26;116;0;5;14;0;0;0;0;0;0
2007;001.Z;Tista;6;44;39;3;10;5;0;0;0;0;0;0
2008;001.Z;Tista;20;70;24;9;13;3;0;0;0;0;0;0
2009;001.Z;Tista;24;55;9;9;11;1;0;0;0;0;0;0
2010;001.Z;Tista;11;197;42;5;39;5;0;22;8;0;4;1
2011;001.Z;Tista;9;78;14;5;14;2;0;16;0;0;4;0
2012;001.Z;Tista;15;59;51;9;14;6;8;24;0;4;6;0
2013;001.Z;Tista;30;23;32;15;6;4;3;18;0;1;3;0
2014;001.Z;Tista;5;19;0;2;4;0;0;3;0;0;1;0
2015;001.Z;Tista;0;26;48;0;5;6;0;31;38;0;7;5
2016;001.Z;Tista;9;46;0;4;9;0;0;0;0;0;0;0
2017;001.Z;Tista;2;17;0;1;3;0;0;0;0;0;0;0
2018;001.Z;Tista;0;0;0;0;0;0;0;0;0;0;0;0
2019;001.Z;Tista;11;15;9;5;3;1;0;0;0;0;0;0
2020;001.Z;Tista;1;35;17;1;7;2;0;0;0;0;0;0
2021;001.Z;Tista;1;0;0;1;0;0;0;0;0;0;0;0
2022;001.Z;Tista;3;4;0;1;1;0;0;0;0;0;0;0
2023;001.Z;Tista;4;0;0;2;0;0;0;0;0;0;0;0
2024;001.Z;Tista;0;0;0;0;0;0;0;0;0;0;0;0
1993;002.Z;Glommavassdraget;339;552;295;153;120;31;0;0;0;0;0;0
1994;002.Z;Glommavassdraget;141;224;124;67;49;14;0;0;0;0;0;0
1995;002.Z;Glommavassdraget;221;345;108;99;84;12;0;0;0;0;0;0
1996;002.Z;Glommavassdraget;188;263;156;88;58;18;0;0;0;0;0;0
1997;002.Z;Glommavassdraget;87;203;169;44;44;19;0;0;0;0;0;0
1998;002.Z;Glommavassdraget;170;504;281;84;107;29;0;0;0;0;0;0
1999;002.Z;Glommavassdraget;110;180;196;55;42;20;0;0;0;0;0;0
2000;002.Z;Glommavassdraget;257;594;193;113;141;24;0;0;0;0;0;0
2001;002.Z;Glommavassdraget;352;716;469;158;159;55;0;0;0;0;0;0
2002;002.Z;Glommavassdraget;340;476;469;157;101;55;0;0;0;0;0;0
2003;002.Z;Glommavassdraget;223;533;406;109;111;43;0;0;0;0;0;0
2004;002.Z;Glommavassdraget;117;181;208;57;38;26;0;0;0;0;0;0
2005;002.Z;Glommavassdraget;163;470;336;83;101;35;0;0;0;0;0;0
2006;002.Z;Glommavassdraget;173;293;130;90;62;15;0;0;0;0;0;0
2007;002.Z;Glommavassdraget;100;408;238;54;84;26;0;0;0;0;0;0
2008;002.Z;Glommavassdraget;70;607;381;33;132;40;0;0;0;0;0;0
2009;002.Z;Glommavassdraget;29;283;161;14;63;19;33;111;61;19;23;7
2010;002.Z;Glommavassdraget;98;648;388;49;140;44;20;65;33;12;15;4
2011;002.Z;Glommavassdraget;72;375;353;33;73;39;11;191;76;5;39;9
2012;002.Z;Glommavassdraget;40;354;521;20;71;54;7;197;157;3;41;18
2013;002.Z;Glommavassdraget;19;92;275;10;20;31;12;37;56;6;8;7
