Aar;VdrNr;Vassdrag;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
1998;028.22Z;N. Varhaugselv;312;7;0;261;2;0;0;0;0;0;0;0
1999;028.22Z;N. Varhaugselv;81;14;0;70;3;0;0;0;0;0;0;0
2000;028.22Z;N. Varhaugselv;72;18;0;46;4;0;0;0;0;0;0;0
2001;028.22Z;N. Varhaugselv;73;17;0;44;4;0;0;0;0;0;0;0
2002;028.22Z;N. Varhaugselv;21;0;0;13;0;0;0;0;0;0;0;0
2003;028.22Z;N. Varhaugselv;59;4;0;40;1;0;0;0;0;0;0;0
2004;028.22Z;N. Varhaugselv;106;20;0;87;5;0;0;0;0;0;0;0
2005;028.22Z;N. Varhaugselv;153;7;0;111;2;0;0;0;0;0;0;0
2006;028.22Z;N. Varhaugselv;85;10;7;59;2;1;0;0;0;0;0;0
2007;028.22Z;N. Varhaugselv;99;23;0;76;6;0;0;0;0;0;0;0
2008;028.22Z;N. Varhaugselv;99;17;0;70;5;0;0;0;0;0;0;0
2009;028.22Z;N. Varhaugselv;54;4;0;45;1;0;0;0;0;0;0;0
2010;028.22Z;N. Varhaugselv;70;4;0;48;1;0;0;0;0;0;0;0
2011;028.22Z;N. Varhaugselv;17;11;0;11;3;0;0;0;0;0;0;0
2012;028.22Z;N. Varhaugselv;76;10;0;52;2;0;0;0;0;0;0;0
2013;028.22Z;N. Varhaugselv;61;23;0;49;6;0;0;0;0;0;0;0
2014;028.22Z;N. Varhaugselv;25;8;0;18;2;0;0;0;0;0;0;0
2015;028.22Z;N. Varhaugselv;37;4;0;28;1;0;2;0;0;1;0;0
2016;028.22Z;N. Varhaugselv;59;0;0;55;0;0;4;0;0;4;0;0
2017;028.22Z;N. Varhaugselv;78;21;0;62;6;0;0;0;0;0;0;0
2018;028.22Z;N. Varhaugselv;36;3;0;33;1;0;0;0;0;0;0;0
2019;028.22Z;N. Varhaugselv;126;19;0;102;5;0;0;0;0;0;0;0
2020;028.22Z;N. Varhaugselv;128;31;0;98;9;0;0;0;0;0;0;0
2021;028.22Z;N. Varhaugselv;54;25;0;40;6;0;0;0;0;0;0;0
2022;028.22Z;N. Varhaugselv;100;3;0;68;1;0;0;4;0;0;1;0
2023;028.22Z;N. Varhaugselv;96;35;0;77;10;0;4;4;0;2;1;0
2024;028.22Z;N. Varhaugselv;53;15;0;40;4;0;2;0;0;1;0;0
1993;028.3Z;Håelva;4239;783;109;2453;189;14;0;0;0;0;0;0
1994;028.3Z;Håelva;2443;971;69;1326;253;9;0;0;0;0;0;0
1995;028.3Z;Håelva;1758;635;42;1057;138;5;0;0;0;0;0;0
1996;028.3Z;Håelva;3844;988;96;2142;233;11;0;0;0;0;0;0
1997;028.3Z;Håelva;1729;549;41;982;128;5;0;0;0;0;0;0
1998;028.3Z;Håelva;8235;1687;161;4979;369;21;0;0;0;0;0;0
1999;028.3Z;Håelva;3363;577;50;2177;132;6;0;0;0;0;0;0
2000;028.3Z;Håelva;4806;1147;150;2894;267;21;0;0;0;0;0;0
2001;028.3Z;Håelva;3793;985;48;2033;253;6;0;0;0;0;0;0
2002;028.3Z;Håelva;2149;831;46;1270;178;6;0;0;0;0;0;0
2003;028.3Z;Håelva;4393;893;72;2637;282;9;0;0;0;0;0;0
2004;028.3Z;Håelva;3354;1300;74;1578;278;10;0;0;0;0;0;0
2005;028.3Z;Håelva;2865;706;82;1655;169;11;0;0;0;0;0;0
2006;028.3Z;Håelva;2292;599;62;1193;138;8;0;0;0;0;0;0
2007;028.3Z;Håelva;2047;2110;134;1146;534;17;0;0;0;0;0;0
2008;028.3Z;Håelva;1811;1071;84;913;276;11;0;0;0;0;0;0
2009;028.3Z;Håelva;1285;587;48;651;141;6;0;0;0;0;0;0
2010;028.3Z;Håelva;2985;1354;80;1628;345;10;0;99;0;0;32;0
2011;028.3Z;Håelva;1466;3296;280;756;774;37;4;55;0;2;14;0
2012;028.3Z;Håelva;1878;2142;140;952;514;18;3;6;0;2;2;0
2013;028.3Z;Håelva;2413;1329;88;1409;290;10;8;5;0;5;1;0
2014;028.3Z;Håelva;1743;996;46;1011;258;6;16;9;9;10;2;1
2015;028.3Z;Håelva;1477;1434;43;875;349;5;0;0;0;0;0;0
2016;028.3Z;Håelva;1162;2017;192;709;460;23;12;13;10;7;3;1
2017;028.3Z;Håelva;1915;1944;102;1073;440;13;55;30;0;26;6;0
2018;028.3Z;Håelva;1345;1340;76;791;305;9;63;23;0;29;6;0
2019;028.3Z;Håelva;1928;2088;192;1214;479;25;33;133;16;15;31;2
2020;028.3Z;Håelva;2116;2443;99;1354;567;12;128;178;0;78;40;0
2021;028.3Z;Håelva;661;819;59;383;196;8;71;75;0;51;17;0
2022;028.3Z;Håelva;884;738;81;523;176;10;156;156;51;95;39;6
2023;028.3Z;Håelva;654;1274;95;410;299;12;68;173;38;43;38;5
2024;028.3Z;Håelva;926;691;32;535;164;4;178;198;36;99;49;5
1993;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
1994;028.4Z;Orreelva;2;0;0;1;0;0;0;0;0;0;0;0
1995;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
1996;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
1997;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
1998;028.4Z;Orreelva;18;0;0;13;0;0;0;0;0;0;0;0
1999;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2000;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2001;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2002;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2003;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2004;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2005;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2006;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2007;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2008;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2009;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2010;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2011;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2012;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2013;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2014;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2015;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2016;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2017;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2018;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2019;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2020;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2021;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2022;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2023;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
2024;028.4Z;Orreelva;0;0;0;0;0;0;0;0;0;0;0;0
1993;028.Z;Figgjo;724;1005;0;410;279;0;0;0;0;0;0;0
1994;028.Z;Figgjo;3099;2238;276;1581;477;35;0;0;0;0;0;0
1995;028.Z;Figgjo;3405;1421;126;1957;319;14;0;0;0;0;0;0
1996;028.Z;Figgjo;3800;1786;181;1959;404;22;0;0;0;0;0;0
1997;028.Z;Figgjo;3736;1681;99;1926;374;13;0;0;0;0;0;0
1998;028.Z;Figgjo;5370;2574;292;3144;547;38;0;0;0;0;0;0
1999;028.Z;Figgjo;3427;1788;178;2009;405;21;0;0;0;0;0;0
2000;028.Z;Figgjo;6184;3810;602;3087;903;71;0;0;0;0;0;0
2001;028.Z;Figgjo;5223;2755;198;2553;645;24;0;0;0;0;0;0
2002;028.Z;Figgjo;1255;877;87;722;176;10;0;0;0;0;0;0
2003;028.Z;Figgjo;4900;2905;296;2555;643;37;0;0;0;0;0;0
2004;028.Z;Figgjo;3420;4093;604;1842;886;75;0;0;0;0;0;0
2005;028.Z;Figgjo;5962;2387;116;3345;568;14;0;0;0;0;0;0
2006;028.Z;Figgjo;2963;1391;68;1862;349;9;0;0;0;0;0;0
2007;028.Z;Figgjo;2078;3130;416;1085;682;52;0;0;0;0;0;0
2008;028.Z;Figgjo;947;1286;110;509;309;14;0;0;0;0;0;0
2009;028.Z;Figgjo;1754;1803;248;986;449;28;0;0;0;0;0;0
2010;028.Z;Figgjo;2050;2031;312;1149;477;36;0;0;0;0;0;0
2011;028.Z;Figgjo;1798;4932;320;959;1112;38;0;0;0;0;0;0
2012;028.Z;Figgjo;2304;3846;701;1200;903;87;0;0;0;0;0;0
2013;028.Z;Figgjo;1601;1721;309;930;428;38;0;0;0;0;0;0
2014;028.Z;Figgjo;1575;1800;109;884;437;13;52;143;0;26;34;0
2015;028.Z;Figgjo;1399;2344;234;760;558;29;183;230;10;94;59;1
2016;028.Z;Figgjo;1060;2451;262;641;605;33;95;51;0;55;13;0
2017;028.Z;Figgjo;1178;1781;266;687;386;32;77;121;26;46;30;3
2018;028.Z;Figgjo;1253;1027;133;727;241;18;114;69;0;61;18;0
2019;028.Z;Figgjo;1323;2638;273;839;613;33;67;142;10;43;32;1
2020;028.Z;Figgjo;1202;1849;140;768;418;18;56;137;7;84;37;1
2021;028.Z;Figgjo;750;1130;116;432;270;14;49;69;0;31;16;0
2022;028.Z;Figgjo;848;951;54;472;224;7;107;124;14;53;30;2
2023;028.Z;Figgjo;572;1356;100;331;315;12;78;107;21;50;24;3
2024;028.Z;Figgjo;345;410;37;193;95;5;47;40;0;28;10;0
1993;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
1994;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
1995;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
1996;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
1997;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
1998;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
1999;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2000;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2001;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2002;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2003;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2004;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2005;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2006;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2007;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2008;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2009;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2010;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2011;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2012;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2013;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2014;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2015;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2016;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2017;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2018;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2019;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2020;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2021;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2022;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2023;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
2024;029.1Z;Sandneselva;0;0;0;0;0;0;0;0;0;0;0;0
1993;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
1994;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
1995;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
1996;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
1997;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
1998;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
1999;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2000;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2001;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2002;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2003;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2004;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2005;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2006;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2007;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2008;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2009;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2010;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2011;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2012;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2013;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2014;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2015;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2016;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2017;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2018;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2019;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2020;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2021;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2022;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2023;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
2024;029.2Z;Imselva (Imsa);0;0;0;0;0;0;0;0;0;0;0;0
1993;030.2Z;Dirdalselva;211;211;27;97;43;3;0;0;0;0;0;0
1994;030.2Z;Dirdalselva;170;114;49;87;30;6;0;0;0;0;0;0
1995;030.2Z;Dirdalselva;39;20;10;19;5;1;0;0;0;0;0;0
1996;030.2Z;Dirdalselva;48;36;11;22;7;1;0;0;0;0;0;0
1997;030.2Z;Dirdalselva;80;47;9;38;10;1;0;0;0;0;0;0
1998;030.2Z;Dirdalselva;226;270;89;125;60;12;0;0;0;0;0;0
1999;030.2Z;Dirdalselva;118;32;0;58;8;0;0;0;0;0;0;0
2000;030.2Z;Dirdalselva;319;419;93;176;88;11;0;0;0;0;0;0
2001;030.2Z;Dirdalselva;276;337;95;138;66;12;0;0;0;0;0;0
2002;030.2Z;Dirdalselva;275;157;56;149;33;7;0;0;0;0;0;0
2003;030.2Z;Dirdalselva;252;1216;184;143;250;22;0;0;0;0;0;0
2004;030.2Z;Dirdalselva;334;381;129;178;83;15;0;0;0;0;0;0
2005;030.2Z;Dirdalselva;705;856;63;361;189;7;0;0;0;0;0;0
2006;030.2Z;Dirdalselva;246;1161;172;128;243;21;0;0;0;0;0;0
2007;030.2Z;Dirdalselva;312;1437;609;168;301;70;0;0;0;0;0;0
2008;030.2Z;Dirdalselva;243;1554;551;113;325;59;0;0;0;0;0;0
2009;030.2Z;Dirdalselva;221;976;1148;132;192;138;23;11;17;19;2;1
2010;030.2Z;Dirdalselva;640;1245;389;333;292;47;13;47;0;11;9;0
2011;030.2Z;Dirdalselva;511;3510;1204;248;735;147;70;338;57;39;78;7
2012;030.2Z;Dirdalselva;433;2644;1912;212;571;222;76;297;191;47;65;24
2013;030.2Z;Dirdalselva;337;1790;1057;183;371;124;65;252;95;41;54;11
2014;030.2Z;Dirdalselva;396;2250;743;192;484;87;81;403;222;45;88;23
2015;030.2Z;Dirdalselva;459;3027;2529;248;617;301;43;160;126;28;31;15
2016;030.2Z;Dirdalselva;445;3711;1670;263;776;202;33;98;81;31;21;9
2017;030.2Z;Dirdalselva;248;4832;1924;140;973;221;14;168;93;11;34;12
2018;030.2Z;Dirdalselva;328;1601;698;172;321;84;5;33;39;4;8;5
2019;030.2Z;Dirdalselva;155;1847;1110;98;379;128;3;39;27;2;8;3
2020;030.2Z;Dirdalselva;566;1511;1157;314;327;133;28;27;53;19;7;6
2021;030.2Z;Dirdalselva;254;1769;693;138;369;80;8;25;15;5;5;2
2022;030.2Z;Dirdalselva;563;1966;1698;270;409;195;33;42;45;20;10;5
2023;030.2Z;Dirdalselva;318;1628;688;182;328;80;19;30;8;12;6;1
2024;030.2Z;Dirdalselva;374;1188;417;198;255;49;53;42;15;29;9;1
1993;030.4Z;Espedalselva (Mæleelva);271;164;16;150;32;2;0;0;0;0;0;0
1994;030.4Z;Espedalselva (Mæleelva);0;0;0;0;0;0;0;0;0;0;0;0
1995;030.4Z;Espedalselva (Mæleelva);105;62;24;60;13;3;0;0;0;0;0;0
1996;030.4Z;Espedalselva (Mæleelva);79;42;49;44;9;6;0;0;0;0;0;0
1997;030.4Z;Espedalselva (Mæleelva);127;36;21;62;8;2;0;0;0;0;0;0
1998;030.4Z;Espedalselva (Mæleelva);307;393;564;186;74;65;0;0;0;0;0;0
1999;030.4Z;Espedalselva (Mæleelva);392;250;92;200;54;10;0;0;0;0;0;0
2000;030.4Z;Espedalselva (Mæleelva);803;905;282;424;185;32;0;0;0;0;0;0
2001;030.4Z;Espedalselva (Mæleelva);513;1043;306;245;208;41;0;0;0;0;0;0
2002;030.4Z;Espedalselva (Mæleelva);379;1167;376;189;221;43;0;0;0;0;0;0
2003;030.4Z;Espedalselva (Mæleelva);315;882;411;153;178;43;0;0;0;0;0;0
2004;030.4Z;Espedalselva (Mæleelva);360;761;482;175;155;59;0;0;0;0;0;0
2005;030.4Z;Espedalselva (Mæleelva);563;626;583;315;126;65;0;0;0;0;0;0
2006;030.4Z;Espedalselva (Mæleelva);190;929;292;107;211;34;0;0;0;0;0;0
2007;030.4Z;Espedalselva (Mæleelva);263;2231;737;147;444;84;0;0;0;0;0;0
2008;030.4Z;Espedalselva (Mæleelva);150;1416;1594;68;296;185;0;0;0;0;0;0
2009;030.4Z;Espedalselva (Mæleelva);212;839;1144;117;156;129;0;0;0;0;0;0
2010;030.4Z;Espedalselva (Mæleelva);352;751;334;162;171;38;0;0;0;0;0;0
2011;030.4Z;Espedalselva (Mæleelva);191;1277;858;97;256;102;0;0;0;0;0;0
2012;030.4Z;Espedalselva (Mæleelva);164;1614;1317;78;315;151;18;34;77;8;8;9
2013;030.4Z;Espedalselva (Mæleelva);290;1266;758;149;262;86;0;0;0;0;0;0
2014;030.4Z;Espedalselva (Mæleelva);231;1655;649;110;346;77;0;0;0;0;0;0
2015;030.4Z;Espedalselva (Mæleelva);249;2180;1725;138;432;197;0;0;0;0;0;0
2016;030.4Z;Espedalselva (Mæleelva);249;2633;1360;139;542;161;75;106;55;52;23;7
2017;030.4Z;Espedalselva (Mæleelva);142;2530;2192;78;505;246;59;188;137;33;40;16
2018;030.4Z;Espedalselva (Mæleelva);148;1246;723;76;250;84;41;112;63;25;23;7
2019;030.4Z;Espedalselva (Mæleelva);64;2131;1694;43;417;194;29;52;67;23;10;7
2020;030.4Z;Espedalselva (Mæleelva);390;1420;1492;217;301;171;71;21;32;46;5;4
2021;030.4Z;Espedalselva (Mæleelva);95;1150;543;53;243;66;20;37;29;12;7;3
2022;030.4Z;Espedalselva (Mæleelva);321;1311;1965;157;270;226;11;28;0;6;6;0
2023;030.4Z;Espedalselva (Mæleelva);226;1956;605;121;389;73;17;9;14;10;2;2
2024;030.4Z;Espedalselva (Mæleelva);172;360;122;91;78;15;2;193;310;1;38;33
1993;030.Z;Frafjordelva;61;3;0;29;1;0;0;0;0;0;0;0
1994;030.Z;Frafjordelva;71;0;0;36;0;0;0;0;0;0;0;0
1995;030.Z;Frafjordelva;74;90;8;44;20;1;0;0;0;0;0;0
1996;030.Z;Frafjordelva;60;48;8;35;10;1;0;0;0;0;0;0
1997;030.Z;Frafjordelva;226;68;16;139;17;2;0;0;0;0;0;0
1998;030.Z;Frafjordelva;97;270;78;56;58;10;0;0;0;0;0;0
1999;030.Z;Frafjordelva;585;159;83;334;39;10;0;0;0;0;0;0
2000;030.Z;Frafjordelva;648;451;98;395;96;12;0;0;0;0;0;0
2001;030.Z;Frafjordelva;458;450;94;230;97;12;0;0;0;0;0;0
2002;030.Z;Frafjordelva;168;499;123;100;100;16;0;0;0;0;0;0
2003;030.Z;Frafjordelva;145;272;43;71;66;5;0;0;0;0;0;0
2004;030.Z;Frafjordelva;223;186;65;130;42;8;0;0;0;0;0;0
2005;030.Z;Frafjordelva;306;212;103;176;47;11;0;0;0;0;0;0
2006;030.Z;Frafjordelva;153;456;147;85;98;16;0;0;0;0;0;0
2007;030.Z;Frafjordelva;58;271;98;31;58;11;0;0;0;0;0;0
2008;030.Z;Frafjordelva;58;313;190;29;70;22;0;0;0;0;0;0
2009;030.Z;Frafjordelva;55;224;360;33;45;42;0;0;0;0;0;0
2010;030.Z;Frafjordelva;216;259;80;107;65;8;0;0;0;0;0;0
2011;030.Z;Frafjordelva;97;471;173;46;108;21;0;0;0;0;0;0
2012;030.Z;Frafjordelva;151;541;360;77;111;44;0;0;0;0;0;0
2013;030.Z;Frafjordelva;101;277;204;65;67;24;0;0;0;0;0;0
2014;030.Z;Frafjordelva;146;640;169;67;136;20;0;10;7;0;2;1
2015;030.Z;Frafjordelva;128;654;564;73;138;63;9;45;52;7;9;6
2016;030.Z;Frafjordelva;116;663;368;65;130;44;7;29;0;3;5;0
2017;030.Z;Frafjordelva;45;476;542;26;94;58;0;15;10;0;3;1
2018;030.Z;Frafjordelva;109;419;178;58;88;20;2;0;0;1;0;0
2019;030.Z;Frafjordelva;59;534;440;38;107;50;3;0;9;2;0;1
2020;030.Z;Frafjordelva;111;462;722;60;98;82;4;4;14;2;1;2
2021;030.Z;Frafjordelva;80;316;275;41;63;32;2;4;0;2;1;0
2022;030.Z;Frafjordelva;176;574;640;85;118;75;11;6;9;5;1;1
2023;030.Z;Frafjordelva;160;944;495;94;183;57;10;14;8;6;3;1
2024;030.Z;Frafjordelva;200;458;282;105;94;33;21;20;10;10;5;1
1993;031.Z;Lyseelva;0;0;0;0;0;0;0;0;0;0;0;0
1994;031.Z;Lyseelva;0;0;0;0;0;0;0;0;0;0;0;0
1995;031.Z;Lyseelva;3;0;0;1;0;0;0;0;0;0;0;0
1996;031.Z;Lyseelva;0;0;0;0;0;0;0;0;0;0;0;0
1997;031.Z;Lyseelva;0;0;0;0;0;0;0;0;0;0;0;0
1998;031.Z;Lyseelva;0;0;0;0;0;0;0;0;0;0;0;0
1999;031.Z;Lyseelva;9;13;0;4;3;0;0;0;0;0;0;0
2000;031.Z;Lyseelva;23;7;8;13;2;1;0;0;0;0;0;0
2001;031.Z;Lyseelva;17;11;0;8;2;0;0;0;0;0;0;0
2002;031.Z;Lyseelva;9;29;8;5;5;1;0;0;0;0;0;0
2003;031.Z;Lyseelva;9;31;7;4;6;1;0;0;0;0;0;0
2004;031.Z;Lyseelva;22;15;0;13;3;0;0;0;0;0;0;0
2005;031.Z;Lyseelva;49;18;0;27;5;0;0;0;0;0;0;0
2006;031.Z;Lyseelva;21;48;8;12;11;1;0;0;0;0;0;0
2007;031.Z;Lyseelva;8;85;8;5;19;1;0;0;0;0;0;0
2008;031.Z;Lyseelva;15;81;18;7;20;2;0;0;0;0;0;0
2009;031.Z;Lyseelva;16;59;49;8;12;5;0;0;0;0;0;0
2010;031.Z;Lyseelva;41;56;23;22;15;3;0;20;22;0;4;2
2011;031.Z;Lyseelva;9;82;14;5;17;2;0;40;0;0;9;0
2012;031.Z;Lyseelva;20;65;55;13;16;6;4;25;17;2;5;2
2013;031.Z;Lyseelva;15;54;44;10;12;5;2;27;8;1;6;1
2014;031.Z;Lyseelva;30;62;14;15;14;2;11;9;0;6;2;0
2015;031.Z;Lyseelva;11;86;23;5;18;3;0;21;0;0;5;0
2016;031.Z;Lyseelva;28;92;37;16;21;4;0;19;7;0;4;1
2017;031.Z;Lyseelva;6;94;40;3;19;5;0;21;0;0;4;0
2018;031.Z;Lyseelva;20;79;19;13;17;2;6;10;0;3;2;0
2019;031.Z;Lyseelva;1;103;57;1;22;7;2;14;0;1;3;0
2020;031.Z;Lyseelva;17;67;63;9;16;8;6;14;7;3;3;1
2021;031.Z;Lyseelva;2;59;31;1;14;4;0;15;0;0;3;0
2022;031.Z;Lyseelva;34;84;22;18;19;3;13;20;0;6;4;0
2023;031.Z;Lyseelva;8;118;39;6;26;5;11;13;0;7;3;0
2024;031.Z;Lyseelva;16;105;38;9;24;5;10;13;0;5;3;0
1993;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
1994;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
1995;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
1996;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
1997;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
1998;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
1999;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
2000;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
2001;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
2002;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
2003;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
2004;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
2005;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
2006;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
2007;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
2008;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
2009;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
2010;032.4Z;Tauvassdraget;0;0;0;0;0;0;0;0;0;0;0;0
