Vassdrag;VdrNr;Andel_hunn;Fangst;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim
Hålandselva;035.7Z;0.64;;;;;;TRUE
Jørpelandsåna;032.Z;0.64;;;;;;TRUE
Lyseelva;031.Z;0.63;;;;;;TRUE
Rødneelva;038.3Z;0.62;;;;;;TRUE
Storelva (Sauda);037.Z;0.55;1;;;;;FALSE
Suldalslågen;036.Z;0.6;;;;;;TRUE
Svendsbøelva;041.21Z;0.59;1;;;;;FALSE
Ulla;035.Z;0.63;;;;;;TRUE
Vikedalselva;038.Z;0.63;;;;;;TRUE
Vorma;035.3Z;0.65;;;;;;TRUE
Nordelva (Åbøelva);037.2Z;0.53;1;;;;;FALSE
Åmselva;038.5Z;0.6;1;;;;;FALSE
Årdalselva;033.Z;0.61;;;;;;TRUE
Frøysetelva (Yndesdal);067.6Z;0.61;;;;;;TRUE
Haugsdalselva;067.2Z;0.59;1;;0.49;;;FALSE
Hopevassdraget;067.4Z;0.55;1;;0.5;;;FALSE
Matreelva;067.3Z;0.58;1;;0.49;;;FALSE
Daleelva;061.Z;0.58;;;;;;TRUE
Ekso;063.Z;0.55;;;;;;TRUE
Loneelva;060.4Z;0.6;;;;;;TRUE
Modalselva;064.Z;0.56;1;;0.38;;;FALSE
Romarheimselva;064.4Z;0.63;1;;0.5;;;FALSE
Storelva (Arna);061.2Z;0.48;;;;;;TRUE
Vosso;062.Z;0.6;1;;;1500;;FALSE
Bondhuselva;046.3Z;0.57;1;;0.37;;;FALSE
Eio;050.Z;0.64;;;;;;TRUE
Etneelva;041.Z;0.57;;;;;;TRUE
Fjæraelva;042.3Z;0.56;1;;0.37;;;FALSE
Tordalselva (Fosselva);053.1Z;0.58;1;;0.42;;;FALSE
Granvin;052.1Z;0.53;;;;;;TRUE
Guddalselva;045.32Z;0.54;1;;0.39;;;FALSE
Hopselva (Fusa);055.3Z;0.54;1;;0.5;;;FALSE
Jondalselva;047.2Z;0.58;0;;0;;;FALSE
Kinso;050.1Z;0.43;;;;;;TRUE
Lønningdalselva;055.6Z;0.6;1;;0.2;;;FALSE
Mosneselva;042.4Z;0.55;1;;0.41;;;FALSE
Opo;048.Z;0.54;1;;;;158;FALSE
Oselva;055.7Z;0.63;;;;;;TRUE
Rosendalselva;045.4Z;0.4;;;;;;TRUE
Simadalselva (Simo);050.4Z;0.52;1;;;;;FALSE
Steinsdalselva;052.7Z;0.55;;;;;;TRUE
Tysseelva;055.Z;0.61;;;;;;TRUE
Uskedalselva;045.2Z;0.62;1;;0.5;;;FALSE
Æneselva;046.1Z;0.56;1;;0.5;;;FALSE
Øysteseelva;052.6Z;0.6;1;;0.5;;;FALSE
Aurlandselva;072.Z;0.59;;;;;;TRUE
Bøelva;080.4Z;0.53;1;;0.53;;;FALSE
Daleelva;079.Z;0.56;;;;;;TRUE
Flåmselva;072.2Z;0.45;;;;;;TRUE
Jostedøla (Jostedalselva);076.Z;0.54;1;;0.47;;;FALSE
Lærdalselva;073.Z;0.54;;;;;;TRUE
Nærøydalselva;071.Z;0.56;;;;;;TRUE
Ortnevikselva;070.2Z;0.58;1;;0.5;;;FALSE
Sogndalselva;077.3Z;0.56;;;;;;TRUE
Storelvi (Fjærland);078.2Z;0.58;1;;0.32;;;FALSE
Vetlefjordelvi;078.5Z;0.54;1;;0.41;;;FALSE
Vikja;070.Z;0.53;;;;;;TRUE
Årdalselva;074.Z;0.56;1;;0.51;;;FALSE
Årøyelva;077.Z;0.56;;;;;;TRUE
Eidselva;089.Z;0.57;;;;;;TRUE
Gloppenelva;087.Z;0.56;;;;;;TRUE
Hjalma;089.4Z;0.67;;;;;;TRUE
Hopselva;086.8Z;0.57;;;;;;TRUE
Loelva;088.2Z;0.61;;;;;;TRUE
Oldenelva;088.1Z;0.56;;;;;;TRUE
Ryggelva;087.1Z;0.56;1;;0.36;;;FALSE
Strynselva;088.Z;0.56;;;;;;TRUE
Åelva og Ommedalselva;086.Z;0.57;;;;;;TRUE
Jølstra;084.Z;0.5;;;;;;TRUE
