Vassdrag;VdrNr;RegionNr;RegionNavn;Filnavn;GBM;GBM_lav;GBM_hoy;Andel15;GytingSim;Fjord;Ytre;Lnr;Normalbeskatningsregion;FemSeaAge;SmoltAge;Inkluder;Latitude;Longitude;Delbestand;Hovedbestand_nr;Andel
Teksdalselva;134.Z;6;Kysten_av_Trøndelag;Teksdalselva;49;37;62;0.94;TRUE;;TRUE;210;Midt;1.5;3;1;63.8552992;9.8829831;0;;
Oldenelva;135.1Z;25;Åfjord;OldenelvaBjugn;177;132;221;0.41;TRUE;Åfjord;FALSE;187;Midt;1;3;1;63.87428;9.92937;0;;
Stordalselva;135.Z;25;Åfjord;StordalselvaAafjord;3090;2317;3862;0.8;TRUE;Åfjord;FALSE;188;Midt;1.5;3;1;63.9583724;10.2225599;0;;
Norddalselva;135.ZB;25;Åfjord;NordalselvaAafjord;834;625;1251;0.53;TRUE;Åfjord;FALSE;186;Midt;1;3;1;63.9589825;10.2213195;0;;
Straumsvassdraget;136.52Z;6;Kysten_av_Trøndelag;136.52Z_Straumsv;48;36;72;0.45;FALSE;;TRUE;209;Midt;;;;64.17497;10.37104;0;;
Steinsdalselva;137.2Z;6;Kysten_av_Trøndelag;SteinsdalselvaOsen;1207;905;1810;0.82;TRUE;;TRUE;208;Midt;1;3;1;64.2970032;10.5067511;0;;
Lauvsneselva;137.7Z;6;Kysten_av_Trøndelag;137.7Z_Lauvsnes;;;;0.85;FALSE;;TRUE;207;Midt;;;;64.49986;10.9102;0;;
Oksdøla;138.3Z;26;Namsfjorden;Oksdola;258;194;388;0.52;TRUE;Namsfjorden;FALSE;182;Midt;1;3;1;64.42638;11.19572;0;;
Aursunda;138.5Z;26;Namsfjorden;Aursunda;327;245;490;0.2;TRUE;Namsfjorden;FALSE;179;Midt;1;3;1;64.3658952;11.3875792;0;;
Bogna;138.6Z;26;Namsfjorden;Bogna;870;653;1306;0.76;TRUE;Namsfjorden;FALSE;180;Midt;1;3;1;64.3871252;11.397962;0;;
Årgårdsvassdraget;138.Z;26;Namsfjorden;Aargaard;3520;2640;4399;0.35;TRUE;Namsfjorden;FALSE;184;Midt;1.5;3;1;64.3129762;11.2243471;0;;
Øyensåa og Årgårdselva;138.ZB;26;Namsfjorden;AargaardAargOyensaaa;1008;755;1259;0.35;TRUE;Namsfjorden;FALSE;184;Midt;1.5;3;0;64.3129762;11.2243471;1;138.Z;0.29
Ferga-Austerelva;138.ZA;26;Namsfjorden;AargaardFergaOsterelva;2511;1884;3139;0.35;TRUE;Namsfjorden;FALSE;185;Midt;1.5;3;0;64.3129762;11.2243471;1;138.Z;0.71
Namsen;139.Z;26;Namsfjorden;Namsen;18654;11161;26148;0.95;TRUE;Namsfjorden;FALSE;181;Midt;2;3;1;64.4626126;11.5247537;0;;
Høylandsvassdraget;139.ZA;26;Namsfjorden;Hoyland;4305;3228;5381;0.95;TRUE;Namsfjorden;FALSE;181;Midt;2;3;0;64.4626126;11.5247537;1;139.Z;0.23
Sandøla;139.ZB;26;Namsfjorden;Sandola;2638;1319;3956;0.95;TRUE;Namsfjorden;FALSE;181;Midt;2;3;0;64.4626126;11.5247537;1;139.Z;0.14
Salvassdraget;140.Z;26;Namsfjorden;Salvassdraget;797;598;1196;0.75;TRUE;Namsfjorden;FALSE;183;Midt;1.5;3;1;64.6906466;11.4371685;0;;
Kvistenelva;141.4Z;27;Follafjorden;141.4Z_Kvistene;89;66;133;0.25;FALSE;Foldafjorden;FALSE;176;Midt;;;;64.86602;11.80972;0;;
Opløyelva;141.Z;27;Follafjorden;141.Z_Opløyelv;2;2;3;0.95;FALSE;Foldafjorden;FALSE;178;Midt;;;;64.80157;11.86157;0;;
Nordfolda;142.3AZ;27;Follafjorden;Nordfolda;124;62;186;0.8;TRUE;Foldafjorden;FALSE;177;Midt;2;3;1;64.881338;12.4481503;0;;
Kongsmoelva;142.3Z;27;Follafjorden;KongsmoAlene;306;153;460;0.8;TRUE;Foldafjorden;FALSE;175;Midt;1.5;3;1;64.8804203;12.4465615;0;;
Horvenelva;143.532Z;28;Sørsalten;143.532Z_Horvenel;152;114;227;0.65;FALSE;Sørsalten;FALSE;174;Midt;;;;64.90761;11.69144;0;;
Terråkelva;144.4Z;29;Bindalsfjorden;144.4Z_Terråkel;55;28;83;0.8;FALSE;Bindalsfjorden;FALSE;232;Midt;;;;65.08959;12.38771;0;;
Urvollelva;144.5Z;29;Bindalsfjorden;Urvollelva;75;56;112;0.57;TRUE;Bindalsfjorden;FALSE;233;Midt;1;4;1;65.13426;12.58653;0;;
Bogelva (Bindal);144.61Z;29;Bindalsfjorden;Bogelva;115;87;173;0.98;TRUE;Bindalsfjorden;FALSE;229;Midt;2;4;1;65.21224;12.78612;0;;
Storelva (Tosbotn);144.7Z;29;Bindalsfjorden;StorelvaTosbotn;93;70;140;0.81;TRUE;Bindalsfjorden;FALSE;231;Midt;1.5;4;1;65.3301922;12.9562872;0;;
Åbjøra;144.Z;29;Bindalsfjorden;Aabjora;954;477;1430;0.88;TRUE;Bindalsfjorden;FALSE;234;Midt;1.5;4;1;65.0776803;12.4528524;0;;
Eidevassdraget;145.2Z;29;Bindalsfjorden;EideBindal;155;117;233;0.69;TRUE;Bindalsfjorden;FALSE;230;Midt;1;4;1;65.2491792;12.4391956;0;;
Færsetvassdraget;147.3Z;7;Nordlandskysten_sør_for_Vestfjorden;147.3Z_Færsetva;161;120;241;0.74;FALSE;;TRUE;266;Midt;;;;65.65401;11.9966;0;;
Sausvassdraget;148.2Z;30;Vellfjorden;Saus;750;563;938;0.86;TRUE;Vellfjorden;FALSE;228;Midt;1.5;4;1;65.38202;12.51485;0;;
Lomselva;148.Z;30;Vellfjorden;148.Z_Lomselva;221;110;331;0.72;FALSE;Vellfjorden;FALSE;227;Midt;;;;65.46198;12.77673;0;;
Lakselvvassdraget;149.2Z;31;Vefsnfjorden;149.2Z_Lakselvv;307;153;460;0.99;FALSE;Vefsnfjorden;FALSE;223;Midt;;;;65.63059;12.74799;0;;
Hestdalselva;149.61Z;31;Vefsnfjorden;149.61Z_Hestdals;80;60;121;0.66;FALSE;Vefsnfjorden;FALSE;221;Midt;;;;65.84337;12.69282;0;;
Halsanelva;149.6Z;31;Vefsnfjorden;149.6Z_Halsanel;133;100;200;0.36;FALSE;Vefsnfjorden;FALSE;220;Midt;;;;65.84427;12.68948;0;;
Hundåla;151.1Z;31;Vefsnfjorden;151.1Z_Hundåla;131;65;196;1;FALSE;Vefsnfjorden;FALSE;222;Midt;;;;65.92679;12.94581;0;;
Vefsna;151.Z;31;Vefsnfjorden;Vefsna;14152;9148;19668;0.98;TRUE;Vefsnfjorden;FALSE;226;Midt;2;4;0;65.84525;13.18189;0;;
Drevjavassdraget;152.2Z;31;Vefsnfjorden;Drevja;570;285;855;0.83;TRUE;Vefsnfjorden;FALSE;218;Midt;1.5;4;0;65.94528;13.13419;0;;
Fustavassdraget;152.Z;31;Vefsnfjorden;Fusta;1263;947;1894;0.96;TRUE;Vefsnfjorden;FALSE;219;Midt;2;4;0;65.90256;13.16693;0;;
Leirelvvassdraget;153.22Z;31;Vefsnfjorden;Leirelva;171;128;256;0.84;TRUE;Vefsnfjorden;FALSE;224;Midt;1.5;4;0;66.07577;13.05318;0;;
Breilandselva;153.32Z;31;Vefsnfjorden;153.32Z_Breiland;;;;0.75;FALSE;Vefsnfjorden;FALSE;217;Midt;;;;66.0721;12.99947;0;;
Ranelva (Leirfjord);153.3Z;31;Vefsnfjorden;Ranelva;56;42;71;0.99;TRUE;Vefsnfjorden;FALSE;225;Midt;2;4;0;66.0779;13.04545;0;;
Bardalselva;153.6Z;31;Vefsnfjorden;153.6Z_Bardalse;190;143;285;0.38;FALSE;Vefsnfjorden;FALSE;216;Midt;;;;66.21751;13.38183;0;;
Bjerka;155.4Z;32;Ranafjorden;155.4Z_Bjerka;205;112;308;0.8;FALSE;Ranafjorden;FALSE;213;Midt;;;;66.15609;13.83837;0;;
Røssåga;155.Z;32;Ranafjorden;Rossaaga;1249;624;1873;0.97;TRUE;Ranafjorden;FALSE;215;Midt;2;4;0;66.1396485;13.8012332;0;;
Ranavassdraget;156.Z;32;Ranafjorden;Rana;1222;611;1833;1;TRUE;Ranafjorden;FALSE;214;Midt;3;4;0;66.33328;14.16641;0;;
Flostrandvassdraget;157.42Z;7;Nordlandskysten_sør_for_Vestfjorden;157.42Z_Flostran;60;45;90;0.8;FALSE;Sjona;TRUE;212;Midt;;;;66.33563;13.37349;0;;
Silavassdraget;157.52Z;7;Nordlandskysten_sør_for_Vestfjorden;157.52Z_Silavass;28;21;41;0.31;FALSE;;TRUE;273;Midt;;;;66.33276;13.14622;0;;
Brattlandsvassdraget;157.6Z;7;Nordlandskysten_sør_for_Vestfjorden;157.6Z_Brattlan;;;;0.87;FALSE;;TRUE;263;Midt;;;;66.4048;13.15879;0;;
Gjervalelva;159.21Z;7;Nordlandskysten_sør_for_Vestfjorden;Gjerval;75;63;88;0.95;TRUE;;TRUE;267;Midt;1.5;4;0;66.47414;13.42591;0;;
Spildervassdraget;160.41Z;7;Nordlandskysten_sør_for_Vestfjorden;Spilder;235;176;352;0.81;TRUE;;TRUE;275;Midt;1.5;4;1;66.8598316;13.734291;0;;
Reipåvassdraget;160.43Z;7;Nordlandskysten_sør_for_Vestfjorden;Reipaa;111;83;166;0.55;TRUE;;TRUE;272;Midt;1;4;1;66.9081993;13.6322504;0;;
Skromma;160.51Z;7;Nordlandskysten_sør_for_Vestfjorden;160.51Z_Skromma;;;;0.75;FALSE;;TRUE;274;Midt;;;;66.94723;13.73642;0;;
Laksådalsvassdraget;160.71Z;7;Nordlandskysten_sør_for_Vestfjorden;160.71Z_Laksådal;37;28;55;0.31;FALSE;;TRUE;270;Midt;;;;66.94739;13.9075;0;;
Sundfjordselva;161.1Z;7;Nordlandskysten_sør_for_Vestfjorden;161.1Z_Sundfjor;;;;0.94;FALSE;;TRUE;277;Midt;;;;66.97747;14.15057;0;;
Beiarvassdraget;161.Z;33;Beiarfjorden;Beiarn;1704;852;2555;0.98;TRUE;Beiarfjorden;FALSE;262;Midt;2;4;1;67.0342497;14.5849106;0;;
Valneselva;162.1Z;7;Nordlandskysten_sør_for_Vestfjorden;Valnesfjordvassdraget;32;24;47;0.95;TRUE;;TRUE;;Midt;1.5;5;1;67.1807;14.45811;0;;
Lakselva i Misvær (Bodø);162.7Z;34;Skjerstadfjorden;162.7Z_Lakselva;196;147;294;0.89;FALSE;Skjerstadfjorden;FALSE;260;Midt;;;;67.12148;14.99884;0;;
Saltdalsvassdraget;163.Z;34;Skjerstadfjorden;Saltdal;2385;1193;3578;0.98;TRUE;Skjerstadfjorden;FALSE;261;Midt;2;4;1;67.1020237;15.4219569;0;;
Setså;164.1Z;34;Skjerstadfjorden;Setsaa;64;32;95;0.9;TRUE;Skjerstadfjorden;FALSE;;Midt;1.5;4;1;67.16428;15.4853;0;;
Lakselva i Valnesfjord;164.3Z;34;Skjerstadfjorden;LakselvaValnesfjord;298;149;447;0.9;TRUE;Skjerstadfjorden;FALSE;259;Midt;1.5;4;1;67.34063;15.24427;0;;
Hopsvassdraget i Bodø;165.1Z;7;Nordlandskysten_sør_for_Vestfjorden;165.1Z_Hopsvass;;;;0.94;FALSE;;TRUE;268;Midt;;;;67.31467;14.73589;0;;
Futelva;165.2Z;7;Nordlandskysten_sør_for_Vestfjorden;Futelva;88;66;132;0.39;TRUE;;TRUE;265;Midt;1;4;1;67.2874;14.6041;0;;
Fjærevassdraget;165.7Z;7;Nordlandskysten_sør_for_Vestfjorden;Fjaere;75;56;94;0.52;TRUE;;TRUE;264;Midt;1;4;1;67.50369;14.71557;0;;
Strandåvassdraget;165.8Z;7;Nordlandskysten_sør_for_Vestfjorden;165.8Z_Strandåv;;;;0.23;FALSE;;TRUE;276;Midt;;;;67.54008;14.84062;0;;
Lakselva (Valljorda);166.3Z;35;Sørfolda;166.3Z_Lakselva;98;74;123;0.71;FALSE;Sørfolda;FALSE;255;Midt;;;;67.35745;15.57719;0;;
