Vassdrag;VdrNr;RegionNr;RegionNavn;Filnavn;GBM;GBM_lav;GBM_hoy;Andel15;GytingSim;Fjord;Ytre;Lnr;Normalbeskatningsregion;FemSeaAge;SmoltAge;Inkluder;Latitude;Longitude;Delbestand;Hovedbestand_nr;Andel
Farstadvassdraget;180.4Z;8;Lofoten_og_Vesterålen;180.4Z_Farstadv;124;93;155;0.75;FALSE;;TRUE;286;Midt;;;;68.18369;13.61462;0;;
Borgevassdraget;180.6Z;8;Lofoten_og_Vesterålen;180.6Z_Borgevas;38;29;57;0.99;FALSE;;TRUE;281;Midt;;;;68.24283;13.78155;0;;
Klovassdraget;185.111Z;8;Lofoten_og_Vesterålen;185.111Z_Klovassd;;;;0.53;FALSE;;TRUE;298;Midt;;;;68.97645;15.16095;0;;
Lifjordvassdraget;185.12Z;8;Lofoten_og_Vesterålen;185.12Z_Lifjordv;;;;0.56;FALSE;;TRUE;302;Midt;;;;68.82307;15.24633;0;;
Alsvågvassdraget;185.1Z;8;Lofoten_og_Vesterålen;Alsvaag;241;180;344;0.62;TRUE;;TRUE;278;Midt;1;4;1;68.916633;15.2341031;0;;
Bremnesvassdraget;185.22Z;8;Lofoten_og_Vesterålen;185.22Z_Bremnesv;;;;0.81;FALSE;;TRUE;282;Midt;;;;68.82591;15.37345;0;;
Gåsfjordvassdraget;185.23Z;8;Lofoten_og_Vesterålen;185.23Z_Gåsfjord;;;;0.12;FALSE;;TRUE;292;Midt;;;;68.79757;15.26796;0;;
Vikelva (Sortland);185.2Z;8;Lofoten_og_Vesterålen;185.2Z_Vikelva;15;11;19;0.67;FALSE;;TRUE;321;Midt;;;;68.75656;15.25092;0;;
Gryttingvassdraget;185.3Z;8;Lofoten_og_Vesterålen;185.3Z_Grytting;56;42;85;0.64;FALSE;;TRUE;290;Midt;;;;68.61091;15.1287;0;;
Indre Straumfjordvassdraget;185.43Z;8;Lofoten_og_Vesterålen;185.43Z_Indre St;21;16;31;0.36;FALSE;;TRUE;295;Midt;;;;68.6762;15.06549;0;;
Lahaugvassdraget;185.441Z;8;Lofoten_og_Vesterålen;185.441Z_Lahaugva;58;29;87;0.88;FALSE;;TRUE;301;Midt;;;;68.69528;15.17166;0;;
Oshaugvassdraget;185.44Z;8;Lofoten_og_Vesterålen;185.44Z_Oshaugva;48;36;72;0.35;FALSE;;TRUE;307;Midt;;;;68.69886;15.17633;0;;
Holmstadvassdraget;185.4Z;8;Lofoten_og_Vesterålen;185.4Z_Holmstad;116;87;175;0.65;FALSE;;TRUE;294;Midt;;;;68.71917;15.1547;0;;
Selnesvassdraget (Sortland);185.52Z;8;Lofoten_og_Vesterålen;185.52Z_Selnesva;41;31;62;0.21;FALSE;;TRUE;313;Midt;;;;68.75968;15.08317;0;;
Straumevassdraget;185.6Z;8;Lofoten_og_Vesterålen;185.6Z_Straumev;;;;0.38;FALSE;;TRUE;317;Midt;;;;68.68699;14.4646;0;;
Nykvågvassdraget;185.71Z;8;Lofoten_og_Vesterålen;185.71Z_Nykvågva;;;;0.6;FALSE;;TRUE;306;Midt;;;;68.77783;14.47512;0;;
Ryggedalsvassdraget;185.7Z;8;Lofoten_og_Vesterålen;185.7Z_Ryggedal;16;12;20;0.35;FALSE;;TRUE;312;Midt;;;;68.75295;14.72851;0;;
Nordsandvassdraget;185.81Z;8;Lofoten_og_Vesterålen;185.81Z_Nordsand;;;;0.58;FALSE;;TRUE;305;Midt;;;;68.92316;14.93701;0;;
Ramsåa (Gårdselva);186.1Z;8;Lofoten_og_Vesterålen;186.1Z_Ramsåa (;76;57;114;0.98;FALSE;;TRUE;309;Midt;;;;69.17518;16.09371;0;;
Åseelva;186.22Z;8;Lofoten_og_Vesterålen;AaseAndoy;156;117;195;0.56;TRUE;;TRUE;322;Midt;1;4;0;69.0118672;15.7705478;0;;
Roksdalsvassdraget;186.2Z;8;Lofoten_og_Vesterålen;Roksdal;1087;862;1312;0.71;TRUE;;TRUE;310;Midt;1;4;1;69.0493282;15.8695249;0;;
Kobbedalselva;186.3Z;8;Lofoten_og_Vesterålen;186.3Z_Kobbedal;76;57;95;0.57;FALSE;;TRUE;299;Midt;;;;69.00576;15.54587;0;;
Melavassdraget;186.51Z;8;Lofoten_og_Vesterålen;186.51Z_Melavass;47;35;70;0.75;FALSE;;TRUE;304;Midt;;;;69.13458;15.6721;0;;
Skogvollvassdraget;186.53Z;8;Lofoten_og_Vesterålen;186.53Z_Skogvoll;52;39;77;0.45;FALSE;;TRUE;314;Midt;;;;69.17915;15.81948;0;;
Stavevassdraget;186.61Z;8;Lofoten_og_Vesterålen;186.61Z_Stavevas;54;41;82;0.86;FALSE;;TRUE;315;Midt;;;;69.19537;15.83851;0;;
Bleiksvassdraget;186.62Z;8;Lofoten_og_Vesterålen;186.62Z_Bleiksva;13;9;16;0.68;FALSE;;TRUE;279;Midt;;;;69.26985;15.9311;0;;
Tennevikelva;189.2Z;37;Astafjorden_Salangen;189.2Z_Tennevik;;;;0.84;FALSE;Astafjorden/Salangen;FALSE;332;Midt;;;;68.64932;16.72032;0;;
Rensåvassdraget;189.3Z;37;Astafjorden_Salangen;Rensaa;199;149;299;0.9;TRUE;Astafjorden/Salangen;FALSE;327;Midt;1;4;1;68.6940087;16.9195816;0;;
Spansdalselva;190.7Z;37;Astafjorden_Salangen;190.7Z_Spansdal;241;120;361;1;FALSE;Astafjorden/Salangen;FALSE;330;Midt;;;;68.75569;17.8022;0;;
Løksebotnvassdraget;191.4Z;37;Astafjorden_Salangen;Loksebotn;61;31;92;0.75;TRUE;Astafjorden/Salangen;FALSE;326;Midt;2;4;1;68.93361;17.71604;0;;
Salangsvassdraget;191.Z;37;Astafjorden_Salangen;Salang;1741;870;2611;0.97;TRUE;Astafjorden/Salangen;FALSE;328;Midt;2;4;1;68.8662595;17.8520461;0;;
Brøstadelva;193.3Z;37;Astafjorden_Salangen;Brostadelva;85;43;128;0.79;TRUE;Astafjorden/Salangen;FALSE;323;Midt;1;4;1;69.0868;17.69517;0;;
Skøelva;193.Z;37;Astafjorden_Salangen;Skoelv;368;184;552;0.96;TRUE;Astafjorden/Salangen;FALSE;329;Midt;1.5;4;1;69.1318832;18.0527134;0;;
Lysbotnvassdraget;194.3Z;9;Kysten_av_Troms;Lysbotn;336;252;504;0.65;TRUE;;TRUE;358;Midt;1;4;1;69.4216256;17.9462375;0;;
Grasmyrvassdraget;194.4Z;37;Astafjorden_Salangen;Grasmyr;264;198;395;0.54;TRUE;Astafjorden/Salangen;FALSE;324;Midt;1.5;4;1;69.3010904;17.895351;0;;
Tennelvvassdraget;194.5Z;37;Astafjorden_Salangen;Tennelv;257;193;321;0.58;TRUE;Astafjorden/Salangen;FALSE;331;Midt;1;4;1;69.17757;17.5324;0;;
Vardnesvassdraget;194.61Z;37;Astafjorden_Salangen;194.61Z_Vardnesv;55;41;83;0.46;FALSE;Astafjorden/Salangen;FALSE;333;Midt;;;;69.2092;17.49867;0;;
Åndervassdraget;194.6Z;37;Astafjorden_Salangen;Aander;378;284;568;0.39;TRUE;Astafjorden/Salangen;FALSE;334;Midt;1.5;4;1;69.1659924;17.4089527;0;;
Å-vassdraget (Tranøy);194.81Z;9;Kysten_av_Troms;194.81Z_Å-vassdr;;;;0.6;FALSE;;TRUE;372;Midt;;;;69.07885;16.99989;0;;
Laukhellevassdraget;194.Z;37;Astafjorden_Salangen;Laukhelle;1055;791;1582;0.87;TRUE;Astafjorden/Salangen;FALSE;325;Midt;2;4;1;69.2274982;17.8493116;0;;
Bunkanvassdraget;195.1Z;9;Kysten_av_Troms;195.1Z_Bunkanva;24;18;30;0.55;FALSE;;TRUE;353;Midt;;;;69.14201;17.08344;0;;
Ballesvikvassdraget;195.51Z;9;Kysten_av_Troms;195.51Z_Ballesvi;;;;0.07;FALSE;;TRUE;350;Midt;;;;69.38352;17.11053;0;;
Finnsætervassdraget;195.52Z;9;Kysten_av_Troms;195.52Z_Finnsæte;;;;0.44;FALSE;;TRUE;354;Midt;;;;69.41197;17.2487;0;;
Rossfjordvassdraget;196.2Z;38;Malangen;Rossfjord;110;82;165;0.81;TRUE;Malangen/Målselv;FALSE;338;Midt;1.5;4;1;69.3633801;18.3141365;0;;
Mårelva (Aursfjorden);196.4Z;38;Malangen;Maarelva;27;20;41;0.51;TRUE;Malangen/Målselv;FALSE;337;Midt;1.5;4;1;69.25996;18.69208;0;;
Lakselva i Aursfjorden;196.5Z;38;Malangen;LakselvAursfjord;90;68;113;0.25;TRUE;Malangen/Målselv;FALSE;335;Midt;1.5;4;1;69.279782;18.7165381;0;;
Målselvvassdraget;196.Z;38;Malangen;Maalselv;5362;3275;8043;0.94;TRUE;Malangen/Målselv;FALSE;336;Midt;2;4;1;69.2724048;18.5125826;0;;
Straumselvvassdraget;197.4Z;9;Kysten_av_Troms;197.4Z_Straumse;141;70;211;0.59;FALSE;;TRUE;367;Midt;;;;69.57527;18.62584;0;;
Tromvikvassdraget;197.63Z;9;Kysten_av_Troms;197.63Z_Tromvikv;43;21;64;0.16;FALSE;;TRUE;369;Midt;;;;69.77394;18.40078;0;;
Tømmerelvvassdraget;198.42Z;39;Balsfjord;198.42Z_Tømmerel;;;;0.96;FALSE;Balsfjord;FALSE;341;Midt;;;;69.22706;19.30764;0;;
Laksvatnvassdraget;198.52Z;39;Balsfjord;198.52Z_Laksvatn;;;;0.18;FALSE;Balsfjord;FALSE;339;Midt;;;;69.37647;19.36987;0;;
Sørbotnelva;198.7Z;9;Kysten_av_Troms;198.7Z_Sørbotne;;;;0.93;FALSE;;TRUE;368;Midt;;;;69.51439;19.23628;0;;
Nordkjoselva;198.Z;39;Balsfjord;Nordkjos;259;129;388;0.97;TRUE;Balsfjord;FALSE;340;Midt;1.5;4;1;69.2160354;19.5388278;0;;
Tønsvikelva;199.2Z;9;Kysten_av_Troms;199.2Z_Tønsvike;178;89;267;0.48;FALSE;;TRUE;370;Nord;;;;69.7419;19.16666;0;;
Skittenelva;199.3Z;9;Kysten_av_Troms;199.3Z_Skittene;62;31;93;0.31;FALSE;;TRUE;365;Nord;;;;69.77659;19.38234;0;;
Ringvatnvassdraget;200.3Z;9;Kysten_av_Troms;200.3Z_Ringvatn;;;;0.31;FALSE;;TRUE;362;Nord;;;;69.80624;19.25864;0;;
Skogsfjordvassdraget;200.6Z;9;Kysten_av_Troms;Skogsfjord;120;90;150;0.76;TRUE;;TRUE;366;Nord;1;4;1;70.0080054;19.0648143;0;;
Skipsfjordvassdraget;202.11Z;9;Kysten_av_Troms;Skipsfjord;179;135;269;0.81;TRUE;;TRUE;364;Nord;1;4;1;70.1587906;19.7969185;0;;
Vannareidvassdraget;202.3Z;9;Kysten_av_Troms;202.3Z_Vannarei;62;47;94;0.61;FALSE;;TRUE;371;Nord;;;;70.20317;19.59865;0;;
Oldervikelva (Tromsø);203.1Z;9;Kysten_av_Troms;203.1Z_Oldervik;;;;0.59;FALSE;;TRUE;361;Nord;;;;69.75547;19.6712;0;;
Breivikvassdraget;203.2Z;9;Kysten_av_Troms;Breivik;290;145;435;0.91;TRUE;;TRUE;352;Nord;1.5;4;1;69.6681791;19.6487262;0;;
Jægervatnvassdraget;203.8Z;9;Kysten_av_Troms;203.8Z_Jægervat;81;61;122;0.94;FALSE;;TRUE;355;Nord;;;;69.73166;19.84809;0;;
Signaldalselva;204.Z;40;Lyngen_Reisa;Signaldal;655;328;983;0.96;TRUE;Lyngen/Reisafjorden;FALSE;346;Nord;2;4;0;69.26663;19.9253;0;;
Skibotnelva;205.Z;40;Lyngen_Reisa;Skibotn;1628;1221;2442;0.96;TRUE;Lyngen/Reisafjorden;FALSE;347;Nord;2;4;0;69.38399;20.26265;0;;
Manndalselva;206.1Z;40;Lyngen_Reisa;ManndalselvaKaafjord;183;92;275;0.97;TRUE;Lyngen/Reisafjorden;FALSE;343;Nord;2;4;1;69.54505;20.53205;0;;
Rotsundelva;206.5Z;9;Kysten_av_Troms;206.5Z_Rotsunde;128;64;192;0.87;FALSE;;TRUE;363;Nord;;;;69.79234;20.69397;0;;
Kåfjordelva;206.Z;40;Lyngen_Reisa;206.Z_Kåfjorde;;;;0.96;FALSE;Lyngen/Reisafjorden;FALSE;342;Nord;;;;69.49444;20.81118;0;;
Nord-Rekvikelva;207.4Z;9;Kysten_av_Troms;207.4Z_Nord-Rek;;;;1;FALSE;;TRUE;360;Nord;;;;70.23191;20.66262;0;;
Oksfjordvassdraget;208.4Z;40;Lyngen_Reisa;Oksfjord;248;142;372;0.97;TRUE;Lyngen/Reisafjorden;FALSE;344;Nord;1.5;4;1;69.905697;21.3198441;0;;
Reisavassdraget;208.Z;40;Lyngen_Reisa;Reisa;3652;1826;5477;0.98;TRUE;Lyngen/Reisafjorden;FALSE;345;Nord;2;4;1;69.7825512;21.0090387;0;;
Kvænangselva;209.Z;41;Kvænangen;Kvaenang;430;322;645;0.93;TRUE;Kvænangen;FALSE;349;Nord;1;4;1;69.7366018;22.1222252;0;;
Burfjordelva;210.Z;41;Kvænangen;BurfjordTilgjengeligDel;84;63;126;0.87;TRUE;Kvænangen;FALSE;348;Nord;1;4;0;69.9379574;22.0396924;0;;
Sør-Tverrfjordelva;211.32Z;10;Kysten_av_Finnmark;211.32Z_Sør-Tver;;;;0.09;FALSE;;TRUE;412;Nord;;;;70.2199;21.71605;0;;
Halselva;212.2Z;42;Fjordene_i_Vest-Finnmark;212.2Z_Halselva;181;90;271;0.84;FALSE;;FALSE;375;Nord;;;;70.03285;22.97379;0;;
Mathiselva;212.4Z;42;Fjordene_i_Vest-Finnmark;212.4Z_Mathisel;376;188;564;0.45;FALSE;;FALSE;380;Nord;;;;69.92548;23.0317;0;;
Tverrelva (Alta);212.6Z;42;Fjordene_i_Vest-Finnmark;212.6Z_Tverrelv;;;;0.5;FALSE;;FALSE;382;Nord;;;;69.96683;23.39239;0;;
Transfarelva;212.7Z;42;Fjordene_i_Vest-Finnmark;212.7Z_Transfar;;;;0.5;FALSE;;FALSE;381;Nord;;;;69.98285;23.4737;0;;
Altaelva;212.Z;42;Fjordene_i_Vest-Finnmark;Alta;12130;9098;15163;0.97;TRUE;;FALSE;374;Nord;3;4;1;69.9716877;23.3949597;0;;
Lakselv i Kviby;213.1Z;42;Fjordene_i_Vest-Finnmark;213.1Z_Lakselv;127;95;191;0.77;FALSE;;FALSE;379;Nord;;;;70.11978;23.38614;0;;
Skillefjordelva;213.2Z;42;Fjordene_i_Vest-Finnmark;213.2Z_Skillefj;;;;0.76;FALSE;;FALSE;378;Nord;;;;70.17877;23.37642;0;;
Kvalsundelva;213.6Z;42;Fjordene_i_Vest-Finnmark;Kvalsund;101;51;152;0.9;TRUE;;FALSE;377;Nord;1;4;1;70.50242;23.98193;0;;
Repparfjordelva;213.Z;42;Fjordene_i_Vest-Finnmark;Repparfjord;3301;1650;4951;0.73;TRUE;;FALSE;373;Nord;1.5;4;1;70.4481085;24.3250258;0;;
Russelva;218.Z;42;Fjordene_i_Vest-Finnmark;Russelv;241;120;361;0.62;TRUE;;FALSE;376;Nord;2;4;1;70.618911;24.6582394;0;;
Snefjordvassdraget;220.1Z;10;Kysten_av_Finnmark;220.1Z_Snefjord;;;;0.31;FALSE;;TRUE;411;Nord;;;;70.78862;24.6064;0;;
Hamneelva;220.5Z;10;Kysten_av_Finnmark;220.5Z_Hamneelv;;;;0.24;FALSE;;TRUE;410;Nord;;;;70.87231;24.94333;0;;
Ytre Billefjordelv;222.7Z;43;Porsangerfjorden;222.7Z_Ytre Bil;604;453;906;0.66;FALSE;;FALSE;386;Nord;;;;70.34926;25.0491;0;;
Stabburselv;223.Z;43;Porsangerfjorden;Stabbur;1616;1212;2424;0.94;TRUE;;FALSE;385;Nord;1.5;4;1;70.1844842;24.9300609;0;;
Lakselv;224.Z;43;Porsangerfjorden;LakselvPorsanger;3424;2568;5137;0.99;TRUE;;FALSE;384;Nord;3;4;1;70.0795009;24.9267312;0;;
Børselv;225.Z;43;Porsangerfjorden;Borselva;2749;1374;4123;0.88;TRUE;;FALSE;383;Nord;1.5;4;1;70.3110106;25.5115379;0;;
Tømmervikvassdraget;227.2Z;10;Kysten_av_Finnmark;227.2Z_Tømmervi;;;;0.65;FALSE;;TRUE;409;Nord;;;;70.8332;26.65213;0;;
Lille Porsangerelva;227.5Z;10;Kysten_av_Finnmark;LillePorsanger;104;78;155;0.63;TRUE;;TRUE;408;Nord;1;4;1;70.6505314;26.3114495;0;;
Veidneselva;227.6Z;10;Kysten_av_Finnmark;Veidnes;362;181;543;0.9;TRUE;;TRUE;407;Nord;1.5;4;1;70.6606581;26.6032608;0;;
Storelva;228.Z;10;Kysten_av_Finnmark;StorelvaLaksefjord;1241;620;1861;0.97;TRUE;;TRUE;406;Nord;1.5;4;1;70.3576412;26.4791108;0;;
Futelva (Gamvik);231.64Z;10;Kysten_av_Finnmark;231.64Z_Futelva;69;34;103;0.55;FALSE;;TRUE;405;Nord;;;;71.06425;28.00742;0;;
Sandfjordelva (Gamvik);231.7Z;10;Kysten_av_Finnmark;Sandfjord;426;213;639;0.73;TRUE;;TRUE;404;Nord;1;4;1;71.0498646;28.0591351;0;;
Risfjordvassdraget;231.8Z;10;Kysten_av_Finnmark;Risfjord;204;153;306;0.8;TRUE;;TRUE;403;Nord;1.5;4;1;70.9804383;28.1692447;0;;
Langfjordelva;233.Z;44;Tanafjorden;Langfjord;2142;1606;3213;0.88;TRUE;;FALSE;388;Nord;2;4;1;70.6220242;27.6413333;0;;
Tana;234.Z;44;Tanafjorden;TanaTotal2;52312;38510;78070;0.91;TRUE;;FALSE;387;Nord;2;4;1;70.5216231;28.3678262;0;;
Maskejohka;234.ZM;44;Tanafjorden;Maskejohka;1521;1100;2000;0.9;TRUE;;FALSE;387;Nord;2;4;0;70.5216231;28.3678262;1;234.Z;0.029075547
Laksjohka;234.ZL;44;Tanafjorden;Laksjohka;1165;864;1747;0.8;TRUE;;FALSE;387;Nord;1.5;4;0;70.5216231;28.3678262;1;234.Z;0.022270225
Valljohka;234.ZV;44;Tanafjorden;ValljohkaJuks;779;508;1168;0.8;TRUE;;FALSE;387;Nord;1.5;4;0;70.5216231;28.3678262;1;234.Z;0.014891421
Iesjohka;234.ZI;44;Tanafjorden;Iesjohka;6072;4278;9107;0.95;TRUE;;FALSE;387;Nord;3;4;0;70.5216231;28.3678262;1;234.Z;0.116072794
Karasjohka;234.ZK;44;Tanafjorden;Karasjoka;7290;5468;10936;0.95;TRUE;;FALSE;387;Nord;3;4;0;70.5216231;28.3678262;1;234.Z;0.139356171
Stordalselva;235.Z;10;Kysten_av_Finnmark;235.Z_Stordals;;;;0.8;FALSE;;TRUE;402;Nord;;;;70.85466;29.09943;0;;
Kongsfjordelva;236.Z;10;Kysten_av_Finnmark;Kongsfjord;1102;826;1653;0.84;TRUE;;TRUE;402;Nord;1.5;4;1;70.6577773;29.2578835;0;;
Syltefjordelva;237.Z;10;Kysten_av_Finnmark;Syltefjord;1356;678;2034;0.78;TRUE;;TRUE;401;Nord;1.5;4;1;70.531026;30.0123684;0;;
Sandfjordelva (Båtsfjord);238.Z;10;Kysten_av_Finnmark;238.Z_Sandfjor;;;;0.89;FALSE;;TRUE;400;Nord;;;;70.51432;30.57965;0;;
Skallelv;239.3Z;10;Kysten_av_Finnmark;Skalle;570;285;856;0.88;TRUE;;TRUE;398;Nord;2;4;1;70.1854177;30.339391;0;;
Komagelv;239.Z;10;Kysten_av_Finnmark;Komag;2151;1613;3227;0.9;TRUE;;TRUE;399;Nord;1.5;4;1;70.2411056;30.5242865;0;;
Vestre Jakobselv;240.Z;10;Kysten_av_Finnmark;VestreJakobselv;1919;960;2879;0.88;TRUE;;TRUE;397;Nord;2;4;1;70.1166286;29.3158152;0;;
Vesterelva;241.5Z;10;Kysten_av_Finnmark;VesterelvaNesseby;281;141;422;0.83;TRUE;;TRUE;394;Nord;1;4;1;70.1585442;28.5774448;0;;
Bergebyelva;241.Z;10;Kysten_av_Finnmark;Bergeby;459;229;688;0.84;TRUE;;TRUE;395;Nord;1.5;4;1;70.1485916;28.8986541;0;;
Klokkerelva;243.Z;45;Køfjord_Bøkfjord_Jarfjord;Klokkerelv;143;107;214;0.58;TRUE;Køfjord/Bøkfjord/Jarfjord;FALSE;393;Nord;1;4;1;69.8580396;29.3871832;0;;
Munkelva;244.4Z;45;Køfjord_Bøkfjord_Jarfjord;Munkelva;199;100;299;0.73;TRUE;Køfjord/Bøkfjord/Jarfjord;FALSE;391;Nord;1;4;1;69.6493272;29.4608602;0;;
Neiden;244.Z;45;Køfjord_Bøkfjord_Jarfjord;NeidenTotaltNy;4695;3440;6758;0.9;TRUE;Køfjord/Bøkfjord/Jarfjord;FALSE;392;Nord;2;4;1;69.7018847;29.5374221;0;;
Sandneselva;246.1Z;45;Køfjord_Bøkfjord_Jarfjord;Sandnes;196;98;295;0.85;TRUE;Køfjord/Bøkfjord/Jarfjord;FALSE;390;Nord;1;4;1;69.66912;29.912;0;;
Karpelva;247.3Z;45;Køfjord_Bøkfjord_Jarfjord;Karpe;207;103;310;0.87;TRUE;Køfjord/Bøkfjord/Jarfjord;FALSE;389;Nord;1;4;1;69.67034;30.39277;0;;
Grense Jakobselv;247.Z;10;Kysten_av_Finnmark;GrenseJakob;621;466;932;0.84;TRUE;;TRUE;396;Nord;1.5;4;1;69.7763781;30.8400926;0;;
