"Vassdrag" "Vdrnr" "Aar" "Prosnaad" "Prosnaadsistefire" "prosmaaloppnaaelse" "prosmaaloppnaaelsesistefire" "prosmaaloppnaaelseutrunk" "Utrunksistefire"
"Enningdalselva" "001.1Z" 2014 88.28 97.07 98.7908273045665 99.6977068261416 138.834878212571 258.568254023623
"Enningdalselva" "001.1Z" 2015 100 97.07 100 99.6977068261416 240.761300818734 235.245752546985
"Enningdalselva" "001.1Z" 2016 94 95.57 99.5035198649127 99.5735867923698 151.296515819082 207.149496720406
"Enningdalselva" "001.1Z" 2017 98.26 95.135 99.881640376109 99.5439968863971 169.85127792318 175.185993193392
"Enningdalselva" "001.1Z" 2018 99.64 97.975 99.990865655625 99.8440064741617 171.928596213962 183.45942269374
"Enningdalselva" "001.1Z" 2019 91.84 95.935 99.3075241537698 99.6708875126041 138.412759780304 157.872287434132
"Glomma" "002.Z" 1993 97.74 NA 99.8505606850568 NA 168.976180551487 NA
"Glomma" "002.Z" 1994 7.44 NA 68.2569462921866 NA 69.3677913545771 NA
"Glomma" "002.Z" 1995 28.1 NA 83.8244389387673 NA 89.5906086573183 NA
"Glomma" "002.Z" 1996 21.8 38.77 79.9323091632413 82.966063769813 84.0558693207583 102.997612471035
"Glomma" "002.Z" 1997 17.3 18.66 76.2496827301757 77.0658442810927 79.5154453965921 80.6324286823115
"Glomma" "002.Z" 1998 95.44 40.66 99.6667872559349 84.9183045220298 157.633506595982 102.698857492663
"Glomma" "002.Z" 1999 14.9 37.36 74.1212342094769 82.4925033397072 76.9845047961924 99.5473315273812
"Glomma" "002.Z" 2000 95.18 55.705 99.5958469514213 87.4083877867522 154.993422549732 117.281719834625
"Glomma" "002.Z" 2001 100 76.38 100 93.3459671042083 239.774713071864 157.346536753443
"Glomma" "002.Z" 2002 99.4 77.37 99.9713636578731 93.4221112046928 194.485896934148 166.559634337984
"Glomma" "002.Z" 2003 99.22 98.45 99.9610416269616 99.882063059064 191.595582312847 195.212403717148
"Glomma" "002.Z" 2004 15.7 78.58 74.5135135173809 93.6114797005539 77.7463641981632 175.900639129256
"Glomma" "002.Z" 2005 96.68 77.75 99.7504967880636 93.5491038975698 163.686346360071 156.878547451307
"Glomma" "002.Z" 2006 21.2 58.2 80.2043413886869 88.6073483302733 84.3290676348606 129.339340126485
"Glomma" "002.Z" 2007 78.34 52.98 97.4799041417344 87.9870639589665 128.80170780066 113.640871498439
"Glomma" "002.Z" 2008 99.92 74.035 99.9971975309651 94.3579849623625 204.842661340942 145.414945784133
"Glomma" "002.Z" 2009 30.78 57.56 84.404997270626 90.5216100830031 90.9963987285359 127.24245887625
"Glomma" "002.Z" 2010 91.28 75.08 99.1922831273633 95.2685955176722 149.040363176223 143.42028276159
"Glomma" "002.Z" 2011 100 80.495 100 95.8986194822386 334.826014354636 194.926359400084
"Glomma" "002.Z" 2012 100 80.515 100 95.8993200994973 383.096545314311 239.489830393426
"Glomma" "002.Z" 2013 98.76 97.51 99.9369979039924 99.7823202578389 189.555965573436 264.129722104651
"Glomma" "002.Z" 2014 77.9 94.165 97.2376943085105 99.2936730531257 129.164586571474 259.160777953464
"Glomma" "002.Z" 2015 85.28 90.485 98.0630153736766 98.8094268965449 158.797325647923 215.153605776786
"Glomma" "002.Z" 2016 100 90.485 100 98.8094268965449 275.891872280708 188.352437518385
"Glomma" "002.Z" 2017 100 90.795 100 98.8251774205468 312.471986496873 219.081442749244
"Glomma" "002.Z" 2018 34.54 79.955 85.3317235635856 95.8486847343155 94.6285312237476 210.447428912313
"Glomma" "002.Z" 2019 100 83.635 100 96.3329308908964 464.876879292893 286.967317323556
"Numedalslågen" "015.Z" 1993 97.8 NA 99.8791116839406 NA 160.457845238633 NA
"Numedalslågen" "015.Z" 1994 97.94 NA 99.8765224137502 NA 162.739370785726 NA
"Numedalslågen" "015.Z" 1995 96.82 NA 99.799037730748 NA 156.983642930249 NA
"Numedalslågen" "015.Z" 1996 80.92 93.37 98.0732436796097 99.4069788770121 128.608189902163 152.197262214193
"Numedalslågen" "015.Z" 1997 6.4 70.52 69.0509966976169 91.6999501304312 69.8061872890167 129.534347726789
"Numedalslågen" "015.Z" 1998 69.96 63.525 96.3646619672233 90.8219850187995 118.133715007167 118.382933782149
"Numedalslågen" "015.Z" 1999 4.9 40.545 66.2263412332308 82.4288108944202 66.7102907583209 95.8145957391671
"Numedalslågen" "015.Z" 2000 38.32 29.895 88.9301431094338 80.1430357518762 96.9829118679147 87.9082762306049
"Numedalslågen" "015.Z" 2001 97.66 52.71 99.8614418588918 87.8456470421949 159.227437881399 110.2635888787
"Numedalslågen" "015.Z" 2002 98.8 59.92 99.9383459891358 88.739068047673 167.935361842152 122.714000587446
"Numedalslågen" "015.Z" 2003 99.2 83.495 99.9565296999736 97.1716151643588 170.614095378217 148.68995174242
"Numedalslågen" "015.Z" 2004 86.28 95.485 98.7606268996794 99.6292361119202 134.586712998083 158.090902024963
"Numedalslågen" "015.Z" 2005 54.38 84.665 93.1772074720406 97.9581775152074 107.271089701355 145.101814979952
"Numedalslågen" "015.Z" 2006 12 62.965 74.4119581740221 91.5765805614289 76.0855519766269 122.13936251357
"Numedalslågen" "015.Z" 2007 36.16 47.205 87.974916446944 88.5811772481715 95.5965397006029 103.384973594167
"Numedalslågen" "015.Z" 2008 47.42 37.49 91.1290631972632 86.6732863225675 103.083233984048 95.5091038406582
"Numedalslågen" "015.Z" 2009 8.32 25.975 70.9060826407981 81.1055051147569 72.0594815567958 86.7062018045185
"Numedalslågen" "015.Z" 2010 39.06 32.74 87.4368236354564 84.3617214801154 97.5170580122557 92.0640783134257
"Numedalslågen" "015.Z" 2011 100 48.7 100 87.3679923683794 220.724263028723 123.346009145456
"Numedalslågen" "015.Z" 2012 98.64 61.505 99.9271356910648 89.5675104918298 170.236687231289 140.134372457266
"Numedalslågen" "015.Z" 2013 51.3 72.25 92.1547584176774 94.8796794360497 105.372896441483 148.462726178438
"Numedalslågen" "015.Z" 2014 65.2 78.785 95.3577437428614 96.8599094629009 116.253326160417 153.146793215478
"Numedalslågen" "015.Z" 2015 90.56 76.425 99.2207135629445 96.665087853637 139.706859742131 132.89244239383
"Numedalslågen" "015.Z" 2016 99.96 76.755 99.9996877485839 96.6832258680168 200.930841144868 140.565980872225
"Numedalslågen" "015.Z" 2017 100 88.93 100 98.6445362635974 235.429835659697 173.080215676778
"Numedalslågen" "015.Z" 2018 99.8 97.58 99.9918715964233 99.8030682269879 204.999686961077 195.266805876943
"Numedalslågen" "015.Z" 2019 99.96 99.93 99.9975977658976 99.9972892777262 198.786363931849 210.036681924373
"Sandvikselva" "008.Z" 1993 0 NA 12.6428749367053 NA 12.6428749367053 NA
"Sandvikselva" "008.Z" 1994 93.06 NA 99.3934174035876 NA 158.53711111722 NA
"Sandvikselva" "008.Z" 1995 0 NA 34.4909518905774 NA 34.4909518905774 NA
"Sandvikselva" "008.Z" 1996 0 23.265 19.6522526173658 41.544874212059 19.6522526173658 56.3307976404671
"Sandvikselva" "008.Z" 1997 0 23.265 23.0761041473649 44.1531815147239 23.0761041473649 58.939104943132
"Sandvikselva" "008.Z" 1998 0 0 22.6681074657964 24.9718540302761 22.6681074657964 24.9718540302761
"Sandvikselva" "008.Z" 1999 0 0 7.80253029136185 18.2997486304722 7.80253029136185 18.2997486304722
"Sandvikselva" "008.Z" 2000 0 0 10.5786218938123 16.0313409495838 10.5786218938123 16.0313409495838
"Sandvikselva" "008.Z" 2001 0 0 11.8939072119544 13.2357917157312 11.8939072119544 13.2357917157312
"Sandvikselva" "008.Z" 2002 0 0 6.81058534638562 9.27141118587853 6.81058534638562 9.27141118587853
"Sandvikselva" "008.Z" 2003 0 0 10.0986644355601 9.8454447219281 10.0986644355601 9.8454447219281
"Sandvikselva" "008.Z" 2004 0 0 17.9770727899637 11.695057445966 17.9770727899637 11.695057445966
"Sandvikselva" "008.Z" 2005 0 0 1.25062481058766 9.03423684562426 1.25062481058766 9.03423684562426
"Sandvikselva" "008.Z" 2006 0 0 9.74007181507028 9.76660846279542 9.74007181507028 9.76660846279542
"Sandvikselva" "008.Z" 2007 0 0 36.6132141497309 16.3952458913381 36.6132141497309 16.3952458913381
"Sandvikselva" "008.Z" 2008 0 0 37.721937392249 21.3314620419095 37.721937392249 21.3314620419095
"Sandvikselva" "008.Z" 2009 1.82 0.455 52.1015117589123 34.0441837789906 52.2691997228975 34.0861057699869
"Sandvikselva" "008.Z" 2010 2.46 1.07 62.6559764476141 47.2731599371266 62.8403074695076 47.3611646835963
"Sandvikselva" "008.Z" 2011 13.82 4.525 74.9691703179101 56.8621489791714 76.6082820723148 57.3599316642422
"Sandvikselva" "008.Z" 2012 9.94 7.01 70.4428473585409 65.0423764707443 71.6129190946974 65.8326770898543
"Sandvikselva" "008.Z" 2013 100 31.555 100 77.0169985310163 447.842684262954 164.726048224868
"Sandvikselva" "008.Z" 2014 100 55.94 100 86.3530044191128 379.769049657132 243.958233771775
"Sandvikselva" "008.Z" 2015 100 77.485 100 92.6107118396352 303.220193405439 300.611211605056
"Sandvikselva" "008.Z" 2016 36.38 84.095 93.6759100963307 98.4189775240827 96.6958322864285 306.881939902988
"Sandvikselva" "008.Z" 2017 100 84.095 100 98.4189775240827 277.091376380148 264.194112932287
"Sandvikselva" "008.Z" 2018 100 84.095 100 98.4189775240827 319.435123901472 249.110631493372
"Sandvikselva" "008.Z" 2019 99.92 84.075 99.9976888020885 98.4183997246048 188.919864574377 220.535549285606
"Skienselva" "016.Z" 1993 86.96 NA 98.7407155471942 NA 137.686433557602 NA
"Skienselva" "016.Z" 1994 55.86 NA 93.075041242572 NA 109.100465538322 NA
"Skienselva" "016.Z" 1995 7.6 NA 65.6639177149476 NA 66.9158031075669 NA
"Skienselva" "016.Z" 1996 10.1 40.13 71.7690743914377 82.3121872240379 73.253746240493 96.7391121109959
"Skienselva" "016.Z" 1997 1.06 18.655 54.575225609101 71.2708147395146 54.6652722856276 75.9838217930024
"Skienselva" "016.Z" 1998 48.42 16.795 91.582339623684 70.8976393347926 103.649187474916 74.621002277151
"Skienselva" "016.Z" 1999 25 21.145 82.919216912148 75.2114641340927 87.9629316274734 79.8827844071276
"Skienselva" "016.Z" 2000 10.88 21.34 72.5921842543405 75.4172415998184 74.4261754455515 80.1758917083922
"Skienselva" "016.Z" 2001 66.18 37.62 95.4716073466644 85.6413370342092 116.333821844683 95.5930290981561
"Skienselva" "016.Z" 2002 86.26 47.08 98.6576571774198 87.4101664226432 138.688678163937 104.352901770411
"Skienselva" "016.Z" 2003 100 65.83 100 91.6803621946062 222.343143015045 137.947954617304
"Skienselva" "016.Z" 2004 3.88 64.08 63.7464505001691 89.4689287560633 64.2062108013079 135.392963456243
"Skienselva" "016.Z" 2005 96.02 71.54 99.7228576677636 90.5317413363381 155.627269886281 145.216325466643
"Skienselva" "016.Z" 2006 83.58 70.87 98.3050173831314 90.443581387766 133.277344085409 143.863491947011
"Skienselva" "016.Z" 2007 1.02 46.125 55.4831138427931 79.3143598484643 55.5786337760068 102.172364637251
"Skienselva" "016.Z" 2008 36.16 54.195 87.1151308197048 85.1565299283482 95.3002311855688 109.945869733316
"Skienselva" "016.Z" 2009 3 30.94 61.8121018619376 75.6788409768917 62.1681051038062 86.5810785376978
"Skienselva" "016.Z" 2010 57.38 24.39 93.6099753282904 74.5050804631815 109.999321055441 80.7615727802057
"Skienselva" "016.Z" 2011 100 49.135 100 85.6343020024832 204.955180226818 118.105709392909
"Skienselva" "016.Z" 2012 99.16 64.885 99.9526852709179 88.8436906152865 172.872777509374 137.49884597386
"Skienselva" "016.Z" 2013 81.56 84.525 98.5293286981832 98.0229973243479 126.108091114862 153.483842476624
"Skienselva" "016.Z" 2014 100 95.18 100 99.6205034922753 212.653077958402 179.147281702364
"Skienselva" "016.Z" 2015 100 95.18 100 99.6205034922753 276.770068272637 197.101003713819
"Skienselva" "016.Z" 2016 79.86 90.355 98.3617103565515 99.2227597636837 124.344260186291 184.968874383048
"Skienselva" "016.Z" 2017 100 94.965 100 99.5904275891379 258.135192237541 217.975649663718
"Skienselva" "016.Z" 2018 100 94.965 100 99.5904275891379 419.547594017096 269.699278678391
"Skienselva" "016.Z" 2019 100 94.965 100 99.5904275891379 317.778107461138 279.951288475516
"Åroselva" "009.Z" 1993 0 NA 0.572920848480327 NA 0.572920848480327 NA
"Åroselva" "009.Z" 1994 2.96 NA 46.7303040064739 NA 47.1794466396065 NA
"Åroselva" "009.Z" 1995 24.28 NA 74.6681400892924 NA 81.7546202863769 NA
"Åroselva" "009.Z" 1996 0 6.81 17.761730985777 34.9332739825059 17.761730985777 36.8171796900602
"Åroselva" "009.Z" 1997 0 6.81 23.8756882505862 40.7589658330324 23.8756882505862 42.6428715405866
"Åroselva" "009.Z" 1998 1.74 6.505 44.6836142609362 40.2472933966479 44.9612354697264 42.0883187481166
"Åroselva" "009.Z" 1999 0.38 0.53 38.9771781879005 31.3245529213 39.0256953231122 31.4060875073004
"Åroselva" "009.Z" 2000 NA NA NA NA NA NA
"Åroselva" "009.Z" 2001 NA NA NA NA NA NA
"Åroselva" "009.Z" 2002 0 NA 6.5174141540873 NA 6.5174141540873 NA
"Åroselva" "009.Z" 2003 0 NA 11.0881800241521 NA 11.0881800241521 NA
"Åroselva" "009.Z" 2004 3.18 NA 47.2414863616786 NA 47.7583645682206 NA
"Åroselva" "009.Z" 2005 0 0.795 3.23573810270347 17.0207046606553 3.23573810270347 17.1499242122909
"Åroselva" "009.Z" 2006 0 0.795 15.1860796584145 19.1878710367371 15.1860796584145 19.3170905883727
"Åroselva" "009.Z" 2007 0 0.795 3.02394849639829 17.1718131547987 3.02394849639829 17.3010327064342
"Åroselva" "009.Z" 2008 0 0 3.30956294138133 6.1888322997244 3.30956294138133 6.1888322997244
"Åroselva" "009.Z" 2009 0 0 8.85830899800968 7.59447502355095 8.85830899800968 7.59447502355095
"Åroselva" "009.Z" 2010 0 0 29.1404266707594 11.0830617766372 29.1404266707594 11.0830617766372
"Åroselva" "009.Z" 2011 NA NA NA NA NA NA
"Åroselva" "009.Z" 2012 NA NA NA NA NA NA
"Åroselva" "009.Z" 2013 0 NA 16.5069625695319 NA 16.5069625695319 NA
"Åroselva" "009.Z" 2014 0 NA 0.0998056719684499 NA 0.0998056719684499 NA
"Åroselva" "009.Z" 2015 0 NA 43.7224263902186 NA 43.7224263902186 NA
"Åroselva" "009.Z" 2016 0 0 46.8948676900818 26.8060155804502 46.8948676900818 26.8060155804502
"Åroselva" "009.Z" 2017 0 0 42.285287867301 33.2505969048925 42.285287867301 33.2505969048925
"Åroselva" "009.Z" 2018 0 0 38.5232293726797 42.8564528300703 38.5232293726797 42.8564528300703
"Åroselva" "009.Z" 2019 77.34 19.335 97.0615300214676 56.1912287378825 123.871962446779 62.8938368442103
"Audna" "023.Z" 1993 NA NA NA NA NA NA
"Audna" "023.Z" 1994 NA NA NA NA NA NA
"Audna" "023.Z" 1995 0 NA 15.7648304204505 NA 15.7648304204505 NA
"Audna" "023.Z" 1996 0 NA 19.604062724673 NA 19.604062724673 NA
"Audna" "023.Z" 1997 0 NA 18.3150646068258 NA 18.3150646068258 NA
"Audna" "023.Z" 1998 24.42 6.105 82.0346432906055 33.9296502606387 86.8182427930772 35.1255501362566
"Audna" "023.Z" 1999 NA NA NA NA NA NA
"Audna" "023.Z" 2000 2.44 NA 58.7213210926551 NA 58.9585019052932 NA
"Audna" "023.Z" 2001 0 NA 25.7512102129996 NA 25.7512102129996 NA
"Audna" "023.Z" 2002 0 NA 23.3661542747458 NA 23.3661542747458 NA
"Audna" "023.Z" 2003 0 0.61 40.7655525956702 37.1510595440177 40.7655525956702 37.2103547471772
"Audna" "023.Z" 2004 5.68 1.42 65.4623296673985 38.8363116877035 66.2030394388226 39.0214891305595
"Audna" "023.Z" 2005 0.02 1.425 39.8839888459075 42.3695063459305 39.8849272676324 42.5549183942177
"Audna" "023.Z" 2006 7.34 3.26 67.7471343523891 53.4647513653413 68.7239631843549 53.89437062162
"Audna" "023.Z" 2007 3.04 4.02 60.5759016956128 58.417338640327 60.9446680187388 58.9391494773872
"Audna" "023.Z" 2008 14.86 6.315 73.8146526722636 60.5054193915433 76.3834575758499 61.484254011644
"Audna" "023.Z" 2009 16.78 10.505 76.4777764953149 69.6538663038951 79.6441344089501 71.4240557969734
"Audna" "023.Z" 2010 0 8.67 16.826260702288 56.9236478913698 16.826260702288 58.4496301764567
"Audna" "023.Z" 2011 99.68 32.83 99.9890294639848 66.7769298334628 217.225952903597 97.5199513976713
"Audna" "023.Z" 2012 96.94 53.35 99.7380528173658 73.2577798697384 176.426596220831 122.530736058917
"Audna" "023.Z" 2013 83.34 69.99 98.0248873109114 78.6445575736375 137.403672597682 136.970620606099
"Audna" "023.Z" 2014 100 94.99 100 99.4379923980655 229.03950321392 190.023931234008
"Audna" "023.Z" 2015 100 95.07 100 99.4407350320693 392.699226192493 233.892249556231
"Audna" "023.Z" 2016 100 95.835 100 99.5062218277279 238.829875640563 249.493069411164
"Audna" "023.Z" 2017 99.28 99.82 99.9513331868038 99.987833296701 197.963992832294 264.633149469817
"Audna" "023.Z" 2018 100 99.82 100 99.987833296701 282.599461464851 278.02313903255
"Audna" "023.Z" 2019 99.88 99.79 99.9920640346745 99.9858493053696 209.862702258274 232.314008048996
"Kvina" "025.Z" 1993 0 NA 3.89563690298773 NA 3.89563690298773 NA
"Kvina" "025.Z" 1994 0 NA 1.72683304658269 NA 1.72683304658269 NA
"Kvina" "025.Z" 1995 0 NA 1.48956179805179 NA 1.48956179805179 NA
"Kvina" "025.Z" 1996 0 0 5.12206269168446 3.05852360982667 5.12206269168446 3.05852360982667
"Kvina" "025.Z" 1997 0 0 2.19059406480284 2.63226290028044 2.19059406480284 2.63226290028044
"Kvina" "025.Z" 1998 0 0 21.6039923759365 7.60155273261889 21.6039923759365 7.60155273261889
"Kvina" "025.Z" 1999 0 0 27.0783243980631 13.9987433826217 27.0783243980631 13.9987433826217
"Kvina" "025.Z" 2000 0 0 20.7890444778806 17.9154888291708 20.7890444778806 17.9154888291708
"Kvina" "025.Z" 2001 0 0 33.3855136292036 25.7142187202709 33.3855136292036 25.7142187202709
"Kvina" "025.Z" 2002 0 0 28.2502753444285 27.3757894623939 28.2502753444285 27.3757894623939
"Kvina" "025.Z" 2003 1.06 0.265 65.4209619143993 36.961448841478 65.4829931921791 36.9769566609229
"Kvina" "025.Z" 2004 0 0.265 44.5630902660768 42.904960288527 44.5630902660768 42.920468107972
"Kvina" "025.Z" 2005 0.04 0.275 58.2832143476638 49.1293854681421 58.2833729762207 49.1449329447263
"Kvina" "025.Z" 2006 56.2 14.325 93.6275750214833 65.4737103874058 105.257410113169 68.3967166369114
"Kvina" "025.Z" 2007 0.04 14.07 55.2220528988687 62.9239831335232 55.2225557030198 65.8316072646216
"Kvina" "025.Z" 2008 43.96 25.06 90.2738754582522 74.351679431567 98.5920177561322 79.3388391371355
"Kvina" "025.Z" 2009 0.04 25.06 55.3500712751388 73.6183936634358 55.350956882019 78.6057351135851
"Kvina" "025.Z" 2010 0 11.01 51.4025823731734 63.0621455013583 51.4025823731734 65.1420281785861
"Kvina" "025.Z" 2011 100 36 100 74.2566322766411 239.232399516054 111.144489131845
"Kvina" "025.Z" 2012 37.76 34.45 88.3452222764697 73.7744689811955 95.0359359120872 110.255468670833
"Kvina" "025.Z" 2013 100 59.44 100 84.9369511624108 180.489999146689 141.540229237001
"Kvina" "025.Z" 2014 88.06 81.455 99.0426797102793 96.8469754966872 127.474806940047 160.558285378719
"Kvina" "025.Z" 2015 0.24 56.515 57.8210934307763 86.3022488543813 57.8384962584683 115.209809564323
"Kvina" "025.Z" 2016 0.04 47.085 52.73166741441 77.3988601388664 52.7323144094589 104.633904188666
"Kvina" "025.Z" 2017 14.3 25.66 78.1646339188373 71.9400186185757 79.8623195392772 79.4769842868128
"Kvina" "025.Z" 2018 90.22 26.2 99.2758353047233 71.9983075171867 130.971598750282 80.3511822393717
"Kvina" "025.Z" 2019 88.82 48.345 98.9655287692007 82.2844163517928 134.146073530693 99.4280765574278
"Lygna" "024.Z" 1993 0 NA 0.0286120974381876 NA 0.0286120974381876 NA
"Lygna" "024.Z" 1994 0 NA 1.12150899235222 NA 1.12150899235222 NA
"Lygna" "024.Z" 1995 0 NA 0.277370827517975 NA 0.277370827517975 NA
"Lygna" "024.Z" 1996 0 0 0.549882038575416 0.49434348897095 0.549882038575416 0.49434348897095
"Lygna" "024.Z" 1997 0 0 0.594283099027794 0.635761239368352 0.594283099027794 0.635761239368352
"Lygna" "024.Z" 1998 0 0 6.08547582599073 1.87675294777798 6.08547582599073 1.87675294777798
"Lygna" "024.Z" 1999 NA NA NA NA NA NA
"Lygna" "024.Z" 2000 0 NA 6.98104587603198 NA 6.98104587603198 NA
"Lygna" "024.Z" 2001 NA NA NA NA NA NA
"Lygna" "024.Z" 2002 0 NA 22.578208985338 NA 22.578208985338 NA
"Lygna" "024.Z" 2003 0 NA 29.0876656445871 NA 29.0876656445871 NA
"Lygna" "024.Z" 2004 0 NA 28.0324264729846 NA 28.0324264729846 NA
"Lygna" "024.Z" 2005 0 0 35.4950242388863 28.798331335449 35.4950242388863 28.798331335449
"Lygna" "024.Z" 2006 0 0 16.5793510887231 27.2986168612953 16.5793510887231 27.2986168612953
"Lygna" "024.Z" 2007 0 0 21.3446082747064 25.3628525188251 21.3446082747064 25.3628525188251
"Lygna" "024.Z" 2008 0 0 42.1292209818822 28.8870511460495 42.1292209818822 28.8870511460495
"Lygna" "024.Z" 2009 12.24 3.06 77.5754643165427 39.4071611654636 78.9591464660733 39.7530817028462
"Lygna" "024.Z" 2010 0.02 3.065 58.2885836706666 49.8344693109495 58.2886173914637 50.1803982785314
"Lygna" "024.Z" 2011 98.9 27.79 99.9387676388606 69.483009151988 186.449615932924 91.4566501930859
"Lygna" "024.Z" 2012 97.28 52.11 99.8110029408176 83.9034546417219 158.789553502969 120.621733323357
"Lygna" "024.Z" 2013 3.1 49.825 69.108236514443 81.7866476911969 69.3508638642112 118.219662672892
"Lygna" "024.Z" 2014 55.36 63.66 93.6511277351168 90.6272837073095 105.425140504012 130.003793451029
"Lygna" "024.Z" 2015 93.98 62.43 99.6359759223966 90.5515857781935 135.353503860477 117.229765432917
"Lygna" "024.Z" 2016 17.26 42.425 78.537025499327 85.2330914178209 80.7940258955721 97.7308835310679
"Lygna" "024.Z" 2017 72.72 59.83 96.4512828040288 92.0688529902173 119.39452017397 110.241797608507
"Lygna" "024.Z" 2018 99.96 70.98 99.9987797673025 93.6557659982637 175.982079465134 127.881032348788
"Lygna" "024.Z" 2019 43.06 58.25 89.195088710468 91.0455441952816 97.5324780971784 118.425775907963
"Mandalselva" "022.Z" 1993 0 NA 7.17441753682818 NA 7.17441753682818 NA
"Mandalselva" "022.Z" 1994 0 NA 29.5735344612105 NA 29.5735344612105 NA
"Mandalselva" "022.Z" 1995 0 NA 2.48187320766701 NA 2.48187320766701 NA
"Mandalselva" "022.Z" 1996 0 0 13.1737253549856 13.1008876401728 13.1737253549856 13.1008876401728
"Mandalselva" "022.Z" 1997 0 0 10.1921936705566 13.8553316736049 10.1921936705566 13.8553316736049
"Mandalselva" "022.Z" 1998 0 0 24.7859650770319 12.6584393275603 24.7859650770319 12.6584393275603
"Mandalselva" "022.Z" 1999 0 0 16.810963475493 16.2407118945168 16.810963475493 16.2407118945168
"Mandalselva" "022.Z" 2000 0 0 47.4936977871254 24.8207050025518 47.4936977871254 24.8207050025518
"Mandalselva" "022.Z" 2001 79.66 19.915 98.3785827916804 46.8673022828327 117.319053355525 51.602419923794
"Mandalselva" "022.Z" 2002 27.76 26.855 89.4199692146731 63.025803317243 92.3032450344448 68.4817399131472
"Mandalselva" "022.Z" 2003 44.44 37.965 93.5590793332921 82.2128322816928 99.3263949495192 89.1105977816537
"Mandalselva" "022.Z" 2004 5.6 39.365 78.6274036369109 89.9962587441391 79.0056196773968 96.9885782542216
"Mandalselva" "022.Z" 2005 85.4 40.8 98.9645392871304 90.1427478680016 121.751379493625 98.0966597887466
"Mandalselva" "022.Z" 2006 99.7 58.785 99.9879694974002 92.7847479386834 148.173184734175 112.064144713679
"Mandalselva" "022.Z" 2007 24.02 53.68 88.7058583653969 91.5714426967096 90.8928640604116 109.955761991402
"Mandalselva" "022.Z" 2008 99.94 77.265 99.9992654811716 96.9144081577748 158.129456318655 129.736721151717
"Mandalselva" "022.Z" 2009 100 80.915 100 97.1732733359922 179.925910118105 144.280353807837
"Mandalselva" "022.Z" 2010 93.64 79.4 99.6306339189562 97.0839394413812 131.768366650573 140.179149286936
"Mandalselva" "022.Z" 2011 100 98.395 100 99.907474850032 243.73752918586 178.390315568298
"Mandalselva" "022.Z" 2012 100 98.41 100 99.9076584797391 191.435114359016 186.716730078388
"Mandalselva" "022.Z" 2013 30.84 81.12 90.4585440007338 97.5222944799225 93.6700503899367 165.152765146346
"Mandalselva" "022.Z" 2014 96.42 81.815 99.8087875007116 97.5668328753613 131.039472297541 164.970541558088
"Mandalselva" "022.Z" 2015 99.2 81.615 99.9662796887221 97.5584027975419 142.298090451827 139.61068187458
"Mandalselva" "022.Z" 2016 96.12 80.645 99.8041860316417 97.5094493054523 132.39203918507 124.849913081094
"Mandalselva" "022.Z" 2017 100 97.935 100 99.8948133052689 191.931230219373 149.415208038453
