"Vassdrag" "Vdrnr" "Aar" "Prosnaad" "Prosnaadsistefire" "prosmaaloppnaaelse" "prosmaaloppnaaelsesistefire" "prosmaaloppnaaelseutrunk" "Utrunksistefire"
"Enningdalselva" "001.1Z" 1993 0 NA 49.146331352592 NA 49.146331352592 NA
"Enningdalselva" "001.1Z" 1994 35.52 NA 87.9623581705176 NA 93.9676936834906 NA
"Enningdalselva" "001.1Z" 1995 100 NA 100 NA 194.544045807057 NA
"Enningdalselva" "001.1Z" 1996 100 58.88 100 84.2771723807774 221.127115782249 139.696296656347
"Enningdalselva" "001.1Z" 1997 52.46 71.995 93.233087083977 95.2988613136236 103.158009033678 153.199216076618
"Enningdalselva" "001.1Z" 1998 62.2 78.665 95.0255130439623 97.0646500319848 108.506173435483 156.833836014617
"Enningdalselva" "001.1Z" 1999 98.7 78.34 99.9251072919672 97.0459268549766 159.309304277679 148.025150632272
"Enningdalselva" "001.1Z" 2000 100 78.34 100 97.0459268549766 194.00004411622 141.243382715765
"Enningdalselva" "001.1Z" 2001 92.78 88.42 99.4276341891381 98.5945636312669 138.303880861257 150.02985067266
"Enningdalselva" "001.1Z" 2002 53.76 86.31 93.4644780804145 98.2043048903799 103.574102992182 148.796833061835
"Enningdalselva" "001.1Z" 2003 100 86.635 100 98.2230280673881 238.1099308013 168.49698969274
"Enningdalselva" "001.1Z" 2004 12.22 64.69 79.2466093474572 93.0346804042524 80.5255231944541 140.128359462298
"Enningdalselva" "001.1Z" 2005 99.96 66.485 99.9965337079966 93.1769052839671 195.262099190285 154.367914044555
"Enningdalselva" "001.1Z" 2006 100 78.045 100 94.8107857638634 230.564203089402 186.11543906886
"Enningdalselva" "001.1Z" 2007 95.02 76.8 99.6306393846356 94.7184456100223 144.292778757455 162.661151057899
"Enningdalselva" "001.1Z" 2008 100 98.745 100 99.906793273158 271.150349725833 210.317357690744
"Enningdalselva" "001.1Z" 2009 100 98.755 100 99.9076598461589 305.456004647866 237.865834055139
"Enningdalselva" "001.1Z" 2010 100 98.755 100 99.9076598461589 405.931439004932 281.707643034021
"Enningdalselva" "001.1Z" 2011 100 100 100 100 334.051306725285 329.147275025979
"Enningdalselva" "001.1Z" 2012 100 100 100 100 263.681539125399 327.28007237587
"Enningdalselva" "001.1Z" 2013 100 100 100 100 297.705292031237 325.342394221713
