VdrNr;Vassdrag;Aar;RegionNr;Region;Gyt_vekt_u3;Gyt_vekt_37;Gyt_vekt_o7;Gyt_ant_u3;Gyt_ant_37;Gyt_ant_o7;Fangst_elv_vekt_u3;Fangst_elv_vekt_37;Fangst_elv_vekt_o7;Fangst_elv_ant_u3;Fangst_elv_ant_37;Fangst_elv_ant_o7;Innsig_elv_vekt_u3;Innsig_elv_vekt_37;Innsig_elv_vekt_o7;Innsig_elv_ant_u3;Innsig_elv_ant_37;Innsig_elv_ant_o7;Andel_region_vekt_u3;Andel_region_vekt_37;Andel_region_vekt_o7;Andel_region_ant_u3;Andel_region_ant_37;Andel_region_ant_o7;Sjofangst_vekt_u3;Sjofangst_vekt_37;Sjofangst_vekt_o7;Sjofangst_ant_u3;Sjofangst_ant_37;Sjofangst_ant_o7;Innsig_sjo_vekt_u3;Innsig_sjo_vekt_37;Innsig_sjo_vekt_o7;Innsig_sjo_ant_u3;Innsig_sjo_ant_37;Innsig_sjo_ant_o7;Innsig_total_hunn;Overbeskatning;MaxSustExp
006.Z;Akerselva;2012;23;Østlandet;0.0920222861496128;0.14333266626491;0.134645047585478;0.0493128588809169;0.0317525100344526;0.0146347459265239;0;0;0;0;0;0;0.0920222861496128;0.14333266626491;0.134645047585478;0.0493128588809169;0.0317525100344526;0.0146347459265239;8.5252735829391e-06;4.20770031540399e-06;5.11114709215231e-06;8.76505888334614e-06;4.44767855298704e-06;5.06493600952973e-06;0.0211725169432293;0.0197782953325564;0.00638893386519039;0.00993957677371452;0.00491913247960367;0.000721753381357987;0.113194803092842;0.163110961597466;0.141033981450668;0.0592524356546314;0.0366716425140562;0.0153564993078819;0.237883655300356;0.000729287981090713;0
012.Z;Drammenselva;2012;23;Østlandet;2339.55470635724;3644.0587162723;3423.18657737046;1253.71946194867;807.268949708347;372.070616166555;825;2590;9253;407;509;965;3164.55470635724;6234.0587162723;12676.1865773705;1660.71946194867;1316.26894970835;1337.07061616655;0.293175661774042;0.183008183062927;0.481190027604812;0.295182721161032;0.18437412258837;0.462746476440854;728.101756015832;860.229964487287;601.487534506016;334.737205796611;203.917779582737;65.9413728928217;3892.65646237307;7094.28868075959;13277.6741118765;1995.45666774528;1520.18672929108;1403.01198905938;13830.8329753552;0;0.685123809407571
001.1Z;Enningdalselva;2012;23;Østlandet;46.0257207241204;389.284803951899;825.761213948298;26.4336909564205;81.9786659389783;96.3090832682681;58.9271567603859;302.377176449336;272.616392030398;33.8432994907622;63.676971934344;31.795432331839;104.952877484506;691.661980401235;1098.3776059787;60.2769904471826;145.655637873322;128.104515600107;0.0097232097930863;0.0203045572856947;0.0416945859320914;0.0107138661714237;0.0204024644347142;0.0443356637213899;24.1475915211298;95.4415715214082;52.1182324151143;12.1495242383945;22.5651256647939;6.31783208029806;129.100469005636;787.103551922643;1150.49583839381;72.4265146855772;168.220763538116;134.422347680405;1208.50602573438;0;0.625157020028326
005.4Z;Gjersjøelva;2012;23;Østlandet;0.74612664445632;1.16215675349927;1.09171660204441;0.399833990926353;0.257452784063129;0.118660102106951;0;0;0;0;0;0;0.74612664445632;1.16215675349927;1.09171660204441;0.399833990926353;0.257452784063129;0.118660102106951;6.91238398616684e-05;3.41164890438161e-05;4.14417331796134e-05;7.10680450001038e-05;3.60622585377328e-05;4.10670487259168e-05;0.171669056296453;0.160364556750458;0.0518021664745167;0.0805911630301177;0.0398848579427324;0.00585205444344314;0.917795700752774;1.32252131024972;1.14351876851893;0.480425153956471;0.297337642005861;0.124512156550394;1.96262475212243;0.0111312376061214;0
002.Z;Glomma;2012;23;Østlandet;237.295676767304;956.726853335121;1277.26685058923;118.94520138712;191.831704565924;132.511834643263;100.39884767638;264.872024774332;211.285844490766;50.3252369305162;53.109047610781;21.9201452497625;337.694524443683;1221.59887810945;1488.55269508;169.270438317636;244.940752176705;154.431979893026;0.0312852280551066;0.0358614830705671;0.0565056934169349;0.0300867845169292;0.034309657064175;0.0534473300671058;77.6968638748573;168.566901173201;70.6321167711687;34.1184136421978;37.9464807129776;7.61624453456258;415.391388318541;1390.16577928265;1559.18481185116;203.388851959834;282.887232889682;162.048224427588;1899.60761594878;0;0.494632474654236
016.4Z;Herrevassdraget;2012;23;Østlandet;41.3851578791772;64.4609612607593;60.5538808600635;22.1774586967151;14.2800477560349;6.58168033019887;0;0;0;0;0;0;41.3851578791772;64.4609612607593;60.5538808600635;22.1774586967151;14.2800477560349;6.58168033019887;0.00383406898432721;0.00189232792563033;0.00229863480036255;0.00394190756267242;0.00200025327355958;0.00227785230266418;9.52191032257662;8.89488741442539;2.87329350045319;4.47012317607053;2.21228012055689;0.324593953129646;50.9070682017539;73.3558486751847;63.4271743605166;26.6475818727856;16.4923278765918;6.90627428332852;118.244757479597;0;0.323437235567893
011.Z;Lierelva;2012;23;Østlandet;213.814814814815;209.555555555556;32.3703703703704;127.777777777778;51.962962962963;4.25925925925926;251;246;38;150;61;5;464.814814814815;455.555555555556;70.3703703703704;277.777777777778;112.962962962963;9.25925925925926;0.0430621062299716;0.0133733733191875;0.00267127027946472;0.0493733000673675;0.0158230938942179;0.00320453500725264;106.944740822134;62.8615412868409;3.33908784933091;55.9893222763948;17.500341847005;0.456646238533501;571.759555636949;518.417096842396;73.7094582197013;333.767100054173;130.463304809968;9.71590549779276;686.692805312438;0.455694257010047;0.280609908567142
007.Z;Lysakerelva;2012;23;Østlandet;17.2325581395349;42.4186046511628;10.6046511627907;7.95348837209302;10.6046511627907;1.32558139534884;13;32;8;6;8;1;30.2325581395349;74.4186046511628;18.6046511627907;13.953488372093;18.6046511627907;2.32558139534884;0.00280085227216159;0.00218464635049688;0.000706235471682228;0.00248014716617474;0.00260601470160204;0.000804859955309964;6.95591661791331;10.2689301705106;0.882794339602785;2.81248688644216;2.88225225997185;0.11469254363167;37.1884747574482;84.6875348216734;19.4874455023935;16.7659752585352;21.4869034227626;2.44027393898051;80.5771693964636;0.244418604651163;0.342245447476266
015.Z;Numedalslågen;2012;23;Østlandet;3049.29205951557;14150.1120702953;6804.19965886968;1552.35794890892;2921.68368358309;779.206080882114;1932.17410168643;8782.90929077091;3733.7519026781;983.646619243613;1813.47558533507;427.583306330439;4981.466161202;22933.0213610662;10537.9515615478;2536.00456815254;4735.15926891816;1206.78938721255;0.461500834692957;0.67322602536243;0.400022291550336;0.450759292256196;0.663269338470999;0.417657474471987;1146.13732295996;3164.4989322161;500.027864437921;511.161037418526;733.575888348925;59.5161901122581;6127.60348416196;26097.5202932823;11037.9794259857;3047.16560557106;5468.73515726709;1266.30557732481;25136.4721098254;0;0.510830320727716
008.Z;Sandvikselva;2012;23;Østlandet;56.6920638934818;116.09691489643;0;30.0924699339809;28.6659049126988;0;88.2029378024806;59.8479254836875;0;46.818621013639;14.7772655515278;0;144.895001695962;175.944840380118;0;76.9110909476199;43.4431704642266;0;0.0134235909793652;0.00516506934290086;0;0.0136704757387155;0.00608522782412631;0;33.3374881972534;24.2784084463055;0;15.5023194877034;6.7302619734837;0;178.232489893216;200.223248826423;0;92.4134104353233;50.1734324377103;0;210.417899843016;0.323165231126936;0
