"Vassdrag" "Vdrnr" "Aar" "ExpSmallMin" "FangstAndSmallMin" "ExpSmallMed" "FangstAndSmallMed" "ExpSmallMax" "FangstAndSmallMax" "ExpMellomMin" "FangstAndMellomMin" "ExpMellomMed" "FangstAndMellomMed" "ExpMellomMax" "FangstAndMellomMax" "ExpStorMin" "FangstAndStorMin" "ExpStorMed" "FangstAndStorMed" "ExpStorMax" "FangstAndStorMax"
"Glomma" "002.Z" 1994 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 1995 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 1996 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 1997 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 1998 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 1999 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2000 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2001 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2002 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2003 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2004 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2005 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2006 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2007 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2008 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2009 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2010 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Glomma" "002.Z" 2011 0.2 0.2 0.35 0.35 0.45 0.45 0.1 0.1 0.15 0.15 0.2 0.2 0.05 0.05 0.1 0.1 0.15 0.15
"Glomma" "002.Z" 2012 0.2 0.2 0.35 0.35 0.45 0.45 0.1 0.1 0.15 0.15 0.2 0.2 0.05 0.05 0.1 0.1 0.15 0.15
"Glomma" "002.Z" 2013 0.2 0.2 0.35 0.35 0.45 0.45 0.1 0.1 0.15 0.15 0.2 0.2 0.05 0.05 0.1 0.1 0.15 0.15
"Glomma" "002.Z" 2014 0.15 0.15 0.2 0.2 0.25 0.25 0.1 0.1 0.15 0.15 0.2 0.2 0.05 0.05 0.1 0.1 0.15 0.15
"Glomma" "002.Z" 2015 0.17 0.17 0.32 0.32 0.42 0.42 0.07 0.07 0.12 0.12 0.17 0.17 0.03 0.03 0.07 0.07 0.12 0.12
"Glomma" "002.Z" 2016 0.17 0.17 0.32 0.32 0.42 0.42 0.07 0.07 0.12 0.12 0.17 0.17 0.03 0.03 0.07 0.07 0.12 0.12
"Glomma" "002.Z" 2017 0.15 0.15 0.2 0.2 0.25 0.25 0.07 0.07 0.12 0.12 0.17 0.17 0.03 0.03 0.07 0.07 0.12 0.12
"Glomma" "002.Z" 2018 0.1 0.1 0.15 0.15 0.2 0.2 0.07 0.07 0.12 0.12 0.17 0.17 0.03 0.03 0.07 0.07 0.12 0.12
"Glomma" "002.Z" 2019 0.104761904761905 0.2 0.183333333333333 0.35 0.235714285714286 0.45 0.0184615384615385 0.2 0.0230769230769231 0.25 0.0323076923076923 0.35 0.0144067796610169 0.1 0.0288135593220339 0.2 0.0504237288135593 0.35
"Numedalslågen" "015.Z" 1993 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 1994 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 1995 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 1996 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 1997 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
